Place,HelmName,Fleet,Status
1,Scotty Stallman,Open Sailboard,Pro Fleet
2,Simon Pettifer,Open Sailboard,Pro Fleet
3,Jim Crossley,Open Sailboard,Pro Fleet
4,Jenna Gibson,Open Sailboard,Pro Fleet
5,Garry Connell,Open Sailboard,Pro Fleet
6,Ben Robbins,Open Sailboard,Gold Fleet
7,Michael George,Open Sailboard,Pro Fleet
8,John Oliver,Open Sailboard,Pro Fleet
9,Will Trossell,Open Sailboard,Pro Fleet
10,Iain Neary,Open Sailboard,Amateur
11,George Fulton,Open Sailboard,Gold Fleet
12,Richard Crosby,Open Sailboard,Gold Fleet
13,Scott Harrison,Open Sailboard,Gold Fleet
14,Charlie Baker,Open Sailboard,Amateur
15,Tim Bate,Open Sailboard,Gold Fleet
16,Nick Deakin,Open Sailboard,Amateur
17,Andrew Twinn,Open Sailboard,Gold Fleet
18,Stuart Trunkfield,Open Sailboard,Gold Fleet
19,Andy Stuart-William,Open Sailboard,Gold Fleet
20,Russell Thompson,Open Sailboard,Amateur
21,Joe Trunkfield,Open Sailboard,Amateur
22,Trevor Whatford,Open Sailboard,Gold Fleet
23,Nic Dodd,Open Sailboard,Gold Fleet
24,Simon Barker,Open Sailboard,Amateur
25,Dylan Chick,Open Sailboard,Amateur
26,Lilia Yelland,Open Sailboard,Gold Fleet
27,Matthew Lilley,Open Sailboard,Amateur
28,Matthew York,Open Sailboard,Gold Fleet
29,Garry Goodwin,Open Sailboard,Amateur
