Place,HelmName,Fleet,Status
1,Scotty Stallman,Men's Sailboard,Pro Fleet
2,Simon Pettifer,Men's Sailboard,Pro Fleet
3,Jim Crossley,Men's Sailboard,Pro Fleet
4,Garry Connell,Men's Sailboard,Pro Fleet
5,Zack Peaple,Men's Sailboard,Gold Fleet
6,Will Trossell,Men's Sailboard,Gold Fleet
7,Michael George,Men's Sailboard,Pro Fleet
8,Dave Strudwick,Men's Sailboard,Gold Fleet
9,Stuart Trunkfield,Men's Sailboard,Gold Fleet
10,Scott Norman,Men's Sailboard,Gold Fleet
11,George Fulton,Men's Sailboard,Gold Fleet
12,Scott Harrison,Men's Sailboard,Gold Fleet
13,Paul Arnold,Men's Sailboard,Amateur
14,Eddie Marsh,Men's Sailboard,Gold Fleet
15,Richard Crosby,Men's Sailboard,Gold Fleet
16,John Oliver,Men's Sailboard,Gold Fleet
17,Tim Bate,Men's Sailboard,Amateur
18,Russell Thompson,Men's Sailboard,Amateur
19,Andy Stuart-William,Men's Sailboard,Gold Fleet
20,Joe Trunkfield,Men's Sailboard,Amateur
21,Simon Ramsden,Men's Sailboard,Amateur
22,Trevor Whatford,Men's Sailboard,Gold Fleet
23,Matthew Lilley,Men's Sailboard,Amateur
24,Andy Bridge,Men's Sailboard,Amateur
25,Matthew York,Men's Sailboard,Gold Fleet
