Place,Helmname,Fleet
1,Scotty Stallman,Men's Sailboard
2,Simon Pettifer,Men's Sailboard
3,Jim Crossley,Men's Sailboard
4,Zack Peaple,Men's Sailboard
5,Michael George,Men's Sailboard
6,George Fulton,Men's Sailboard
7,Scott Norman,Men's Sailboard
8,John Oliver,Men's Sailboard
9,Will Trossell,Men's Sailboard
10,Tim Bate,Men's Sailboard
11,Stuart Trunkfield,Men's Sailboard
12,Garry Connell,Men's Sailboard
13,Scott Harrison,Men's Sailboard
14,Dave Strudwick,Men's Sailboard
15,Andy Stuart-William,Men's Sailboard
16,Richard Crosby,Men's Sailboard
17,Russell Thompson,Men's Sailboard
18,Joe Trunkfield,Men's Sailboard
19,Matthew Lilley,Men's Sailboard
20,Simon Ramsden,Men's Sailboard
21,Eddie Marsh,Men's Sailboard
22,Neil Binding,Men's Sailboard
