Rank,Speed (kts),Name,Runs,Sail Number
1,28.91,Jim Paine,19,17
2,28.31,Pete Martin,5,181
3,27.65,Mike Pearce,14,9
4,26.41,Sean Carroll,3,171
5,26.33,Matthew Brown,3,3
6,25.87,Tony Morris,5,11
7,24.75,Les Paley,4,8
8,24.37,Trevor Whatford,7,27
9,23.59,Richard Ashenden,1,19
10,22.31,Richard Trubger,4,124
11,22.20,Angus Hitchen,1,7
12,19.34,Alan Blundell,3,18
13,16.79,John Peperell,7,13
14,14.74,Alex Montgomery,3,1
15,14.34,Torix Bennett,4,101
16,13.93,Chris Evans  Boomerang,8,30
17,3.58,Jeremy Walwin,1,20
