Place,HelmName,Fleet,Status
1,Scotty Stallman,Men's Sailboard,Pro Fleet
2,Michael George,Men's Sailboard,Pro Fleet
3,Simon Pettifer,Men's Sailboard,Pro Fleet
4,Garry Connell,Men's Sailboard,Pro Fleet
5,Mark Ingram,Men's Sailboard,Gold Fleet
6,Scott Norman,Men's Sailboard,Gold Fleet
7,Jonathan Ingram,Men's Sailboard,Amateur
8,Tim Bate,Men's Sailboard,Amateur
9,Finnley Knight,Men's Sailboard,Amateur
10,Scott Harrison,Men's Sailboard,Gold Fleet
11,Zack Peaple,Men's Sailboard,Gold Fleet
12,Joe Trunkfield,Men's Sailboard,Amateur
13,Andrew Twinn,Men's Sailboard,Gold Fleet
14,Dave Strudwick,Men's Sailboard,Gold Fleet
15,Simon Ramsden,Men's Sailboard,Amateur
16,Russell Thompson,Men's Sailboard,Amateur
17,Jack James York,Men's Sailboard,Amateur
