Place,Helmname,Fleet
1,Scotty Stallman,Men's Sailboard
2,Garry Connell,Men's Sailboard
3,Simon Pettifer,Men's Sailboard
4,Tim Bate,Men's Sailboard
5,Scott Norman,Men's Sailboard
6,Mark Ingram,Men's Sailboard
7,Jonathan Ingram,Men's Sailboard
8,Zack Peaple,Men's Sailboard
9,Finnley Knight,Men's Sailboard
10,Scott Harrison,Men's Sailboard
11,Russell Thompson,Men's Sailboard
12,Andy Stuart-William,Men's Sailboard
