Place,Helmname,Fleet
1,Finlay Chandler,Men's Wingboard
2,Denis Gordo,Men's Wingboard
3,Richard Hobson,Men's Wingboard
4,Sullie Yelland,Men's Wingboard
5,Finn O'Gorman,Men's Wingboard
6,Mark Salvage,Men's Wingboard
