Place,HelmName,Fleet,Status
1,Dave Strudwick,Men's Sailboard,Gold Fleet
2,John McIntyre,Men's Sailboard,Amateur
3,Gavin Nicholson,Men's Sailboard,Gold Fleet
4,Daniel Skudder,Men's Sailboard,Gold Fleet
5,Martin Allman,Men's Sailboard,Amateur
6,Nic Dodd,Men's Sailboard,Gold Fleet
7,Sebastian Round,Men's Sailboard,Youth Fleet
8,Andrew Robinson,Men's Sailboard,Youth Fleet
9,Mark Collins,Men's Sailboard,Amateur
10,Adrian Wallis,Men's Sailboard,Gold Fleet
11,Allan Cross,Men's Sailboard,Gold Fleet
12,Paul Robinson,Men's Sailboard,Amateur
