Sail Number,Craft Type,Name,Speed (kts),Runs
458,Boat,Robert Date,5.626,10
46,Boat,European Hydrosail Systems,5.318,9
30,Boat,Hywel Price,5.026,8
10,Boat,Fred Ball,4.941,10
138,Boat,John Lindley,0.895,1
