Sail Number,Name,Speed (kts),Runs
1,John Montgomery,13.580,22
33,Chris Evans,10.435,4
733,-,7.759,1
2,Bob Quinton,6.411,5
101,Torix Bennett,6.171,3
13,John Peperell,5.859,1
11,Tony Morris,3.713,1
92,-,3.575,1
98,Neils Haarbosch,3.571,2
32,-,1.725,1
