Rank,Speed (kts),Craft Type,Name,Runs,Sail Number
1,33.78,Kite Board,Jeremy Waitt,5,604
2,32.91,Kite Board,Ian Gray,9,610
3,32.85,Kite Board,Dean Morgan,7,605
4,32.73,Sailboard,David MacInnes,24,67
5,32.73,Sailboard,Bjorn Haacke,20,4
6,32.44,Sailboard,Stephen Corps,24,15
7,32.03,Sailboard,Tony Morris,6,11
8,31.80,Sailboard,John Sanderson,6,180
9,31.46,Sailboard,Guy Cribb,6,632
10,31.19,Sailboard,Tristan Drane,15,7
11,31.19,Sailboard,Paul Simmons,10,110
12,30.81,Sailboard,Simon Hinckley,6,40
13,30.81,Sailboard,Robin Penna,14,75
14,30.55,Sailboard,Greg Lewis,15,594
15,30.44,Sailboard,Ian Hill,8,14
16,30.34,Sailboard,Richard Jones,4,213
17,30.14,Sailboard,Alex Montgomery,5,1
18,29.68,Kite Board,Richard Trubger,9,622
19,29.68,Sailboard,Ed Gollop,11,41
20,29.20,Sailboard,Pete Martin,7,181
21,28.92,Sailboard,Stuart Biggs,4,57
22,28.92,Sailboard,Neil Ellison,4,295
23,28.78,Sailboard,Duncan Adam,6,63
24,28.64,Sailboard,Nik Green,7,94
25,28.46,Sailboard,Sean Carroll,7,171
26,28.37,Sailboard,Peter Davis,7,73
27,28.32,Sailboard,Tim Lawes,9,56
28,28.23,Sailboard,Richard Ashenden,3,19
29,28.19,Sailboard,Greg Dunnett,11,631
30,28.15,Sailboard,Alan Cross,11,68
31,28.14,Sailboard,Rob Stack,8,777
32,28.10,Sailboard,Mike Pearce,10,9
33,28.05,Sailboard,Danny Norris,8,43
34,27.97,Sailboard,Dave Ellerbeck,8,42
35,27.04,Sailboard,Peter Williams,5,74
36,26.99,Sailboard,Tim Gulland,5,454
37,26.05,Sailboard,Dion Hunt,7,71
38,25.94,Sailboard,Clive Ellis,1,51
39,25.94,Sailboard,Alistair Williams,2,330
40,25.46,Sailboard,Richard Holgate,1,53
41,25.14,Sailboard,Martin Allman,9,36
42,25.13,Sailboard,Pierre Saville,4,38
43,25.00,Sailboard,Roger Crabb,5,88
44,24.92,Sailboard,Michael Seward,2,93
45,24.55,Sailboard,Nigel Spriggs,1,118
46,24.31,Sailboard,Trevor Whatford,6,27
47,23.15,Sailboard,Amy Carter,4,85
48,22.45,Sailboard,Hans-Jürgen Theinert,2,113
49,22.39,Sailboard,Brian Leake,3,26
50,20.40,Boat,Richard Jenkins,1,50
51,17.05,Kite Board,Tessa Wilson,2,603
52,14.10,Boat,Torix Bennett,5,101
53,14.03,Boat,John Peperell,6,510
