Sail Number,Name,Speed (kts),Runs
47,Stacey Vass,27.230,33
11,Tony Morris,26.010,36
9,Mike Pearce,25.067,33
17,James Paine,23.611,5
584,Jean Bernard Cunin,22.591,16
905,Steve Cole,21.087,15
171,Sean Carroll,20.242,5
333,Phil Hayward,19.305,10
101,Torix Bennett,19.040,22
16,Robin Ball,18.615,6
18,Alan Blundell,16.981,15
1,John Montgomery,16.665,30
33,Chris Evans,13.371,8
8,Marie Elphage,13.157,1
458,Bob Date,12.760,10
30,Keith Dunstan,11.860,4
10,Fred Ball,10.651,16
99,Philip Middleton,9.317,12
98,Neils Haarbosch,4.436,1
