Entrant ID,Tally,Motion ID,Start Date,End Date,File ID,First Name,Family Name,Craft Type,Status,Entry Type
1346,67,0,2024-10-12,2024-10-18,ROB0BEN,Ben,Robbins,Sailboard,Gold-Fleet,All Week
3346,67,0,2024-10-12,2024-10-18,ROB0BEN,Ben,Robbins,Wingboard,Amateur,All Week
3347,68,0,2024-10-14,2024-10-18,COL0AND,Andrew,Collenette,Wingboard,Amateur,2 Days
3348,69,0,2024-10-12,2024-10-18,WAK0PAU,Paul,Wakelin,Wingboard,Pro-Fleet,All Week
2349,70,0,2024-10-14,2024-10-18,HOR0PHI,Phil,Horder,Kiteboard,Freeride,2 Days
1350,71,0,2024-10-12,2024-10-18,TRU0JOS,Joseph,Trunkfield,Sailboard,Amateur,All Week
2351,72,0,2024-10-12,2024-10-18,WIL0DAV,David,Williams,Kiteboard,Open Class,All Week
3351,72,0,2024-10-12,2024-10-18,WIL0DAV,David,Williams,Wingboard,Amateur,All Week
1352,73,0,2024-10-12,2024-10-18,TRU0STU,Stuart,Trunkfield,Sailboard,Gold-Fleet,All Week
1353,74,0,2024-10-14,2024-10-18,ING0JON,Jonathan,Ingram,Sailboard,Amateur,2 Days
1354,75,0,2024-10-12,2024-10-18,NEA0IAI,Iain,Neary,Sailboard,Amateur,All Week
1355,76,0,2024-10-12,2024-10-18,YOR0MAT,matt,york,Sailboard,Gold-Fleet,All Week
1356,77,0,2024-10-12,2024-10-13,YOR0JAC,jack james,york,Sailboard,Amateur,Youth W/E
1357,78,0,2024-10-14,2024-10-18,REA0ALI,Alice,Read,Sailboard,Pro-Fleet,2 Days
3358,79,0,2024-10-12,2024-10-18,JAS0JAS,Jason Morton,Jason Morton,Wingboard,Pro-Fleet,All Week
1359,80,0,2024-10-12,2024-10-18,DEA0NIC,Nick,Deakin,Sailboard,Amateur,All Week
1360,81,0,2024-10-12,2024-10-18,NOR0SCO,Scott,Norman,Sailboard,Gold-Fleet,All Week
1361,82,0,2024-10-12,2024-10-18,CRO0JIM,Jim,Crossley,Sailboard,Pro-Fleet,All Week
1362,83,0,2024-10-12,2024-10-18,SPA0ROB,Robert,Spagnoletti,Sailboard,Gold-Fleet,All Week
1363,84,0,2024-10-12,2024-10-13,GIB0ELL,Ellie,Gibson,Sailboard,Amateur,Youth W/E
3202,44,819,2023-10-12,2023-10-13,WIL819DAV,Dave,Williams,Wingboard,Amateur,All Week
1206,48,805,2023-10-07,2023-10-08,ING805MAR,Mark,Ingram,Sailboard,Gold-Fleet,2 Days
2244,86,873,2023-10-07,2023-10-07,EDE873MAR,Markus,Edegran,Kiteboard,Open Class,2 Days
