Place,HelmName,Fleet,Tally
1,Richard Hobson,Wingboard,4
2,Rod Dickinson,Wingboard,29
3,Andrew Collenette,Wingboard,68
4,Anna Collenette,Wingboard,109
5,Oscar Dempsey,Wingboard,104
6,Gary Nichols,Wingboard,19
7,Nick Barrett,Wingboard,97
8,Peter Mallett,Wingboard,54
9,John-Paul Standish,Wingboard,2
