Sail Number,Title,First Name,Last Name,Craft Type,Master or Junior,Novice,Professional,Start Time,Finish Time,Elapsed Time,Speed (kts),Course Length,Course Angle
46,Mr,denis,royet,Sailboard,Neither,No,No,10:33:47,10:34:31,44.4583,22.85,522,54
21,Mr,Dan,Simpson,Sailboard,Neither,No,Yes,10:38:22,10:39:07,45.419,22.36,522,54
40,Mr,simon,Hinkley,Sailboard,Neither,No,Yes,10:36:10,10:36:57,46.7464,21.73,522,54
21,Mr,Dan,Simpson,Sailboard,Neither,No,Yes,10:43:30,10:44:19,47.6108,21.34,522,54
948,Mr,liam,Round,Sailboard,Junior,No,Yes,10:34:04,10:34:52,47.6498,21.32,522,54
68,Mr,Allan,Cross,Sailboard,Neither,No,Yes,10:36:18,10:37:06,47.8583,21.22,522,54
451,Mr,Xavier,Ferlet,Sailboard,Neither,No,Yes,14:24:58,14:25:47,49.813,21.13,541,69
129,Mr,Tim,Fricke,Sailboard,Neither,Yes,No,10:36:23,10:37:11,48.3622,21,522,54
290,Mr,James,Simpson,Sailboard,Junior,No,Yes,10:37:13,10:38:01,48.5144,20.94,522,54
328,Mr,Adrian,Wallis,Sailboard,Master,No,No,10:35:54,10:36:44,49.4339,20.55,522,54
21,Mr,Dan,Simpson,Sailboard,Neither,No,Yes,11:13:22,11:14:11,49.4984,20.52,522,54
451,Mr,Xavier,Ferlet,Sailboard,Neither,No,Yes,13:46:41,13:47:33,51.4753,20.45,541,69
131,Mr,Paul,Simmons,Sailboard,Neither,No,Yes,10:33:09,10:33:58,49.8974,20.36,522,54
21,Mr,Dan,Simpson,Sailboard,Neither,No,Yes,10:54:36,10:55:26,50.0368,20.3,522,54
44,Mr,Dave,Strudwick,Sailboard,Master,No,No,10:36:48,10:37:38,50.2099,20.23,522,54
451,Mr,Xavier,Ferlet,Sailboard,Neither,No,Yes,14:18:33,14:19:25,52.3506,20.11,541,69
79,Mr,ROB,KING,Sailboard,Neither,Yes,No,13:51:02,13:51:54,52.3547,20.11,541,69
44,Mr,Dave,Strudwick,Sailboard,Master,No,No,13:50:36,13:51:29,52.8426,19.92,541,69
29,Mr,tony,robinson,Sailboard,Master,No,No,10:39:22,10:40:13,51.0426,19.9,522,54
451,Mr,Xavier,Ferlet,Sailboard,Neither,No,Yes,14:11:17,14:12:10,52.9275,19.89,541,69
609,Mr,stacey,vass,Kite Board,Neither,No,Yes,13:47:23,13:48:17,53.1389,19.81,541,69
480,Mr,Tony,Ireland,Sailboard,Neither,No,Yes,10:35:29,10:36:20,51.2896,19.8,522,54
10,Mr,Ricky,Wooding,Sailboard,Neither,No,No,10:49:45,10:50:37,51.6107,19.68,522,54
747,Mr,Simon,White,Sailboard,Master,Yes,No,14:23:26,14:24:19,53.829,19.56,541,69
21,Mr,Dan,Simpson,Sailboard,Neither,No,Yes,10:51:12,10:52:04,52.0832,19.5,522,54
451,Mr,Xavier,Ferlet,Sailboard,Neither,No,Yes,13:40:48,13:41:42,54.0599,19.47,541,69
68,Mr,Allan,Cross,Sailboard,Neither,No,Yes,14:24:43,14:25:38,54.1565,19.44,541,69
676,Mr,Richard,Box,Sailboard,Master,Yes,No,10:36:02,10:36:54,52.3456,19.41,522,54
