Sail Number,Title,First Name,Last Name,Craft Type,Master or Junior,Novice,Professional,Start Time,Finish Time,Elapsed Time,Speed (kts),Course Length,Course Angle
151,Mr,Sam,Latham,Sailboard,Junior,No,No,14:24:12,14:25:06,54.3008,19.39,541,69
10,Mr,Ricky,Wooding,Sailboard,Neither,No,No,10:59:57,11:00:50,52.454,19.37,522,54
747,Mr,Simon,White,Sailboard,Master,Yes,No,14:28:09,14:29:03,54.5877,19.29,541,69
451,Mr,Xavier,Ferlet,Sailboard,Neither,No,Yes,13:53:04,13:53:58,54.7942,19.21,541,69
68,Mr,Allan,Cross,Sailboard,Neither,No,Yes,14:18:06,14:19:01,54.8142,19.21,541,69
10,Mr,Ricky,Wooding,Sailboard,Neither,No,No,11:23:06,11:23:59,53.0768,19.14,522,54
451,Mr,Xavier,Ferlet,Sailboard,Neither,No,Yes,13:59:20,14:00:16,55.0408,19.13,541,69
29,Mr,tony,robinson,Sailboard,Master,No,No,10:33:21,10:34:14,53.2249,19.08,522,54
609,Mr,stacey,vass,Kite Board,Neither,No,Yes,14:10:21,14:11:17,55.2712,19.05,541,69
10,Mr,Ricky,Wooding,Sailboard,Neither,No,No,11:10:33,11:11:26,53.753,18.9,522,54
44,Mr,Dave,Strudwick,Sailboard,Master,No,No,13:56:52,13:57:48,55.8811,18.84,541,69
10,Mr,Ricky,Wooding,Sailboard,Neither,No,No,10:44:58,10:45:52,54.0688,18.79,522,54
901,Mr,Richard,Simpson,Sailboard,Neither,No,No,10:39:05,10:39:59,54.0979,18.78,522,54
44,Mr,Dave,Strudwick,Sailboard,Master,No,No,14:13:54,14:14:50,56.1036,18.76,541,69
44,Mr,Dave,Strudwick,Sailboard,Master,No,No,11:42:21,11:43:15,54.1424,18.76,522,54
44,Mr,Dave,Strudwick,Sailboard,Master,No,No,14:27:03,14:27:59,56.2196,18.73,541,69
747,Mr,Simon,White,Sailboard,Master,Yes,No,14:17:47,14:18:43,56.2221,18.72,541,69
480,Mr,Tony,Ireland,Sailboard,Neither,No,Yes,13:46:59,13:47:55,56.2746,18.71,541,69
948,Mr,liam,Round,Sailboard,Junior,No,Yes,10:43:46,10:44:41,54.2986,18.71,522,54
863,Mr,Duncan,Adam,Sailboard,Neither,No,No,10:40:15,10:41:10,54.3867,18.68,522,54
747,Mr,Simon,White,Sailboard,Master,Yes,No,14:12:28,14:13:24,56.3669,18.68,541,69
863,Mr,Duncan,Adam,Sailboard,Neither,No,No,10:54:09,10:55:03,54.5078,18.64,522,54
23,Mr,BARRY,MASON,Sailboard,Master,No,No,10:42:50,10:43:45,54.7601,18.55,522,54
71,Mr,James,Morris,Sailboard,Neither,No,No,10:47:48,10:48:42,54.7922,18.54,522,54
164,Mr,Glenn,Weedon,Sailboard,Master,Yes,No,13:51:09,13:52:06,56.826,18.53,541,69
151,Mr,Sam,Latham,Sailboard,Junior,No,No,13:51:20,13:52:17,56.842,18.52,541,69
10,Mr,Ricky,Wooding,Sailboard,Neither,No,No,13:46:14,13:47:10,56.8825,18.51,541,69
102,Mrs,Linda,Cleary,Sailboard,Neither,Yes,No,10:34:26,10:35:21,54.9209,18.5,522,54
55,Mr,Nick,Scott,Sailboard,Neither,No,Yes,10:46:38,10:47:33,55.0312,18.46,522,54
44,Mr,Dave,Strudwick,Sailboard,Master,No,No,14:21:07,14:22:04,57.0453,18.45,541,69
604,Mr,TONY,MORRIS,Sailboard,Neither,No,No,13:14:52,13:15:50,57.0797,18.44,541,69
451,Mr,Xavier,Ferlet,Sailboard,Neither,No,Yes,13:33:49,13:34:47,57.4758,18.32,541,69
44,Mr,Dave,Strudwick,Sailboard,Master,No,No,11:58:49,11:59:45,55.4588,18.32,522,54
609,Mr,stacey,vass,Kite Board,Neither,No,Yes,11:25:14,11:26:09,55.5172,18.3,522,54
10,Mr,Ricky,Wooding,Sailboard,Neither,No,No,14:26:47,14:27:45,57.5394,18.3,541,69
68,Mr,Allan,Cross,Sailboard,Neither,No,Yes,14:00:02,14:01:00,57.6804,18.25,541,69
21,Mr,Dan,Simpson,Sailboard,Neither,No,Yes,10:59:50,11:00:46,55.7175,18.23,522,54
863,Mr,Duncan,Adam,Sailboard,Neither,No,No,11:25:45,11:26:41,55.7332,18.23,522,54
328,Mr,Adrian,Wallis,Sailboard,Master,No,No,10:44:48,10:45:43,55.8123,18.2,522,54
10,Mr,Ricky,Wooding,Sailboard,Neither,No,No,11:16:09,11:17:05,56.0423,18.13,522,54
948,Mr,liam,Round,Sailboard,Junior,No,Yes,10:51:22,10:52:18,56.0828,18.11,522,54
480,Mr,Tony,Ireland,Sailboard,Neither,No,Yes,13:22:20,13:23:18,58.1666,18.1,541,69
144,Mr,Steve,Giles,Sailboard,Neither,No,No,13:24:11,13:25:09,58.2229,18.08,541,69
863,Mr,Duncan,Adam,Sailboard,Neither,No,No,13:23:33,13:24:31,58.3107,18.05,541,69
559,Mr,Tony,Attfield,Sailboard,Neither,No,No,11:20:11,11:21:07,56.2916,18.05,522,54
79,Mr,ROB,KING,Sailboard,Neither,Yes,No,10:55:26,10:56:22,56.3076,18.04,522,54
598,Mr,Michael,Roberts,Sailboard,Master,No,No,14:28:50,14:29:48,58.483,18,541,69
948,Mr,liam,Round,Sailboard,Junior,No,Yes,10:56:49,10:57:46,56.4924,17.98,522,54
44,Mr,Dave,Strudwick,Sailboard,Master,No,No,11:47:34,11:48:31,56.7433,17.9,522,54
44,Mr,Dave,Strudwick,Sailboard,Master,No,No,14:08:26,14:09:25,58.8309,17.89,541,69
480,Mr,Tony,Ireland,Sailboard,Neither,No,Yes,10:53:06,10:54:03,56.7711,17.89,522,54
151,Mr,Sam,Latham,Sailboard,Junior,No,No,11:43:19,11:44:16,56.886,17.86,522,54
901,Mr,Richard,Simpson,Sailboard,Neither,No,No,10:48:52,10:49:50,57.0489,17.81,522,54
948,Mr,liam,Round,Sailboard,Junior,No,Yes,13:10:35,13:11:34,59.1915,17.79,541,69
480,Mr,Tony,Ireland,Sailboard,Neither,No,Yes,14:25:24,14:26:24,59.2354,17.77,541,69
609,Mr,stacey,vass,Kite Board,Neither,No,Yes,10:40:27,10:41:24,57.5297,17.66,522,54
598,Mr,Michael,Roberts,Sailboard,Master,No,No,13:48:42,13:49:42,59.6658,17.64,541,69
131,Mr,Paul,Simmons,Sailboard,Neither,No,Yes,10:50:32,10:51:31,57.6183,17.63,522,54
129,Mr,Tim,Fricke,Sailboard,Neither,Yes,No,10:50:06,10:51:03,57.6579,17.62,522,54
10,Mr,Ricky,Wooding,Sailboard,Neither,No,No,13:14:06,13:15:06,60.1111,17.51,541,69
46,Mr,denis,royet,Sailboard,Neither,No,No,10:46:16,10:47:14,58.0063,17.51,522,54
948,Mr,liam,Round,Sailboard,Junior,No,Yes,13:30:51,13:31:51,60.3626,17.44,541,69
388,Mr,George,Turpin,Sailboard,Junior,Yes,No,14:24:32,14:25:32,60.3635,17.44,541,69
480,Mr,Tony,Ireland,Sailboard,Neither,No,Yes,14:17:57,14:18:58,60.5654,17.38,541,69
609,Mr,stacey,vass,Kite Board,Neither,No,Yes,11:45:01,11:46:00,58.4385,17.38,522,54
68,Mr,Allan,Cross,Sailboard,Neither,No,Yes,14:06:10,14:07:10,60.6868,17.35,541,69
10,Mr,Ricky,Wooding,Sailboard,Neither,No,No,11:04:42,11:05:41,58.5985,17.33,522,54
68,Mr,Allan,Cross,Sailboard,Neither,No,Yes,10:46:25,10:47:24,58.6144,17.33,522,54
44,Mr,Dave,Strudwick,Sailboard,Master,No,No,11:52:46,11:53:45,58.6326,17.32,522,54
313,Mr,john,benamati,Sailboard,Neither,No,Yes,11:45:56,11:46:55,58.8467,17.26,522,54
23,Mr,BARRY,MASON,Sailboard,Master,No,No,11:45:08,11:46:07,58.8704,17.25,522,54
44,Mr,Dave,Strudwick,Sailboard,Master,No,No,15:22:28,15:23:29,61.3371,17.16,541,69
71,Mr,James,Morris,Sailboard,Neither,No,No,11:02:15,11:03:14,59.2617,17.14,522,54
44,Mr,Dave,Strudwick,Sailboard,Master,No,No,15:27:14,15:28:16,61.744,17.05,541,69
561,Mr,Sam,Sills,Sailboard,Junior,No,No,10:48:39,10:49:39,60.0322,16.92,522,54
507,Mr,Sam,Sills,Sailboard,Junior,No,No,11:18:02,11:19:02,60.0743,16.91,522,54
948,Mr,liam,Round,Sailboard,Junior,No,Yes,11:55:22,11:56:23,60.1211,16.9,522,54
598,Mr,Michael,Roberts,Sailboard,Master,No,No,11:20:23,11:21:23,60.163,16.88,522,54
23,Mr,BARRY,MASON,Sailboard,Master,No,No,11:21:46,11:22:46,60.1953,16.87,522,54
83,Mr,David,Tuttlebee,Sailboard,Master,No,No,13:47:45,13:48:47,62.5376,16.83,541,69
948,Mr,liam,Round,Sailboard,Junior,No,Yes,13:19:11,13:20:14,62.5902,16.82,541,69
480,Mr,Tony,Ireland,Sailboard,Neither,No,Yes,13:54:09,13:55:12,62.8567,16.75,541,69
480,Mr,Tony,Ireland,Sailboard,Neither,No,Yes,13:35:25,13:36:28,62.9069,16.74,541,69
151,Mr,Sam,Latham,Sailboard,Junior,No,No,14:09:52,14:10:56,63.1022,16.68,541,69
598,Mr,Michael,Roberts,Sailboard,Master,No,No,11:56:02,11:57:04,61.0251,16.65,522,54
10,Mr,Ricky,Wooding,Sailboard,Neither,No,No,13:37:55,13:38:58,63.3546,16.62,541,69
598,Mr,Michael,Roberts,Sailboard,Master,No,No,11:44:27,11:45:29,61.1819,16.6,522,54
598,Mr,Michael,Roberts,Sailboard,Master,No,No,13:40:02,13:41:06,63.4984,16.58,541,69
598,Mr,Michael,Roberts,Sailboard,Master,No,No,14:21:23,14:22:27,63.5162,16.57,541,69
10,Mr,Ricky,Wooding,Sailboard,Neither,No,No,14:10:58,14:12:02,63.542,16.57,541,69
388,Mr,George,Turpin,Sailboard,Junior,Yes,No,13:48:03,13:49:07,63.5612,16.56,541,69
598,Mr,Michael,Roberts,Sailboard,Master,No,No,13:22:55,13:23:59,63.6378,16.54,541,69
507,Mr,Sam,Sills,Sailboard,Junior,No,No,13:50:00,13:51:04,63.641,16.54,541,69
10,Mr,Ricky,Wooding,Sailboard,Neither,No,No,13:53:42,13:54:46,63.6808,16.53,541,69
23,Mr,BARRY,MASON,Sailboard,Master,No,No,11:11:35,11:12:36,61.6161,16.49,522,54
58,Mr,Graeme,Fuller,Sailboard,Master,No,Yes,11:44:12,11:45:13,61.6778,16.47,522,54
451,Mr,Xavier,Ferlet,Sailboard,Neither,No,Yes,11:49:11,11:50:12,61.7431,16.45,522,54
668,Mr,william,rowles,Sailboard,Junior,No,No,14:19:19,14:20:23,64.1246,16.42,541,69
480,Mr,Tony,Ireland,Sailboard,Neither,No,Yes,13:13:00,13:14:04,64.2305,16.39,541,69
44,Mr,Dave,Strudwick,Sailboard,Master,No,No,13:45:51,13:46:55,64.2815,16.38,541,69
507,Mr,Sam,Sills,Sailboard,Junior,No,No,14:25:14,14:26:19,64.3067,16.37,541,69
10,Mr,Ricky,Wooding,Sailboard,Neither,No,No,13:20:15,13:21:20,64.4298,16.34,541,69
901,Mr,Richard,Simpson,Sailboard,Neither,No,No,10:55:58,10:57:00,62.2034,16.33,522,54
901,Mr,Richard,Simpson,Sailboard,Neither,No,No,11:21:22,11:22:24,62.2109,16.33,522,54
863,Mr,Duncan,Adam,Sailboard,Neither,No,No,13:40:13,13:41:18,64.5783,16.3,541,69
144,Mr,Steve,Giles,Sailboard,Neither,No,No,11:53:45,11:54:48,62.6003,16.23,522,54
58,Mr,Graeme,Fuller,Sailboard,Master,No,Yes,14:23:57,14:25:02,64.907,16.22,541,69
23,Mr,BARRY,MASON,Sailboard,Master,No,No,11:55:51,11:56:54,62.9688,16.13,522,54
670,Mr,Eddie,Murrell,Sailboard,Master,No,No,11:22:07,11:23:10,63.027,16.12,522,54
668,Mr,william,rowles,Sailboard,Junior,No,No,14:27:22,14:28:27,65.5621,16.06,541,69
68,Mr,Allan,Cross,Sailboard,Neither,No,Yes,13:52:42,13:53:48,65.5846,16.05,541,69
507,Mr,Sam,Sills,Sailboard,Junior,No,No,13:28:50,13:29:56,66.0086,15.95,541,69
179,Mr,Ray,Smith,Sailboard,Master,Yes,No,10:34:42,10:35:46,63.7515,15.93,522,54
559,Mr,Tony,Attfield,Sailboard,Neither,No,No,11:11:13,11:12:18,63.8477,15.91,522,54
948,Mr,liam,Round,Sailboard,Junior,No,Yes,12:02:15,12:03:19,64.1143,15.84,522,54
480,Mr,Tony,Ireland,Sailboard,Neither,No,Yes,14:01:47,14:02:54,66.503,15.83,541,69
151,Mr,Sam,Latham,Sailboard,Junior,No,No,11:59:29,12:00:33,64.2576,15.81,522,54
58,Mr,Graeme,Fuller,Sailboard,Master,No,Yes,13:46:34,13:47:41,66.897,15.74,541,69
58,Mr,Graeme,Fuller,Sailboard,Master,No,Yes,14:16:41,14:17:49,67.2285,15.66,541,69
668,Mr,william,rowles,Sailboard,Junior,No,No,13:48:26,13:49:33,67.3046,15.64,541,69
598,Mr,Michael,Roberts,Sailboard,Master,No,No,14:11:30,14:12:38,67.4133,15.62,541,69
10,Mr,Ricky,Wooding,Sailboard,Neither,No,No,14:02:17,14:03:24,67.8547,15.51,541,69
10,Mr,Ricky,Wooding,Sailboard,Neither,No,No,14:20:52,14:22:00,67.8996,15.5,541,69
948,Mr,liam,Round,Sailboard,Junior,No,Yes,11:05:33,11:06:39,65.8777,15.42,522,54
144,Mr,Steve,Giles,Sailboard,Neither,No,No,13:13:55,13:15:03,68.2777,15.42,541,69
248,Mr,Marcus,Partridge,Sailboard,Junior,No,No,10:35:12,10:36:18,66.0552,15.38,522,54
668,Mr,william,rowles,Sailboard,Junior,No,No,11:19:06,11:20:12,66.2416,15.33,522,54
58,Mr,Graeme,Fuller,Sailboard,Master,No,Yes,11:51:39,11:52:46,66.2871,15.32,522,54
507,Mr,Sam,Sills,Sailboard,Junior,No,No,14:15:03,14:16:12,68.8206,15.3,541,69
190,Mr,James,Grogono,Boat,Master,No,No,11:39:47,11:40:54,66.4278,15.29,522,54
146,Mr,william,giles,Sailboard,Junior,Yes,No,14:26:01,14:27:09,68.8819,15.28,541,69
561,Mr,Sam,Sills,Sailboard,Junior,No,No,10:58:09,10:59:16,66.9152,15.18,522,54
58,Mr,Graeme,Fuller,Sailboard,Master,No,Yes,13:55:49,13:56:58,69.5433,15.14,541,69
507,Mr,Sam,Sills,Sailboard,Junior,No,No,13:37:46,13:38:55,69.5777,15.13,541,69
190,Mr,James,Grogono,Boat,Master,No,No,13:34:38,13:35:48,70.3138,14.97,541,69
507,Mr,Sam,Sills,Sailboard,Junior,No,No,11:54:09,11:55:18,68.8235,14.76,522,54
507,Mr,Sam,Sills,Sailboard,Junior,No,No,13:16:37,13:17:50,72.477,14.53,541,69
668,Mr,william,rowles,Sailboard,Junior,No,No,13:39:15,13:40:27,72.6091,14.5,541,69
507,Mr,Sam,Sills,Sailboard,Junior,No,No,13:06:22,13:07:35,73.1978,14.38,541,69
58,Mr,Graeme,Fuller,Sailboard,Master,No,Yes,14:07:58,14:09:11,73.9406,14.24,541,69
909,Mr,lee,bradbury,Sailboard,Neither,Yes,No,11:25:48,11:27:00,71.5868,14.19,522,54
668,Mr,william,rowles,Sailboard,Junior,No,No,11:47:24,11:48:35,71.917,14.12,522,54
863,Mr,Duncan,Adam,Sailboard,Neither,No,No,14:17:19,14:18:34,75.2032,14,541,69
948,Mr,liam,Round,Sailboard,Junior,No,Yes,13:24:55,13:26:12,76.9244,13.69,541,69
604,Mr,TONY,MORRIS,Sailboard,Neither,No,No,13:47:13,13:48:30,77.5272,13.58,541,69
668,Mr,william,rowles,Sailboard,Junior,No,No,14:05:07,14:06:25,78.1564,13.47,541,69
146,Mr,william,giles,Sailboard,Junior,Yes,No,14:13:39,14:14:59,79.2989,13.28,541,69
507,Mr,Sam,Sills,Sailboard,Junior,No,No,14:04:47,14:06:07,80.436,13.09,541,69
604,Mr,TONY,MORRIS,Sailboard,Neither,No,No,13:30:11,13:31:34,83.7745,12.57,541,69
58,Mr,Graeme,Fuller,Sailboard,Master,No,Yes,11:18:51,11:20:15,83.371,12.18,522,54
23,Mr,BARRY,MASON,Sailboard,Master,No,No,15:17:11,15:18:39,88.4798,11.9,541,69
678,Mr,Stefan,Cook,Boat,Neither,No,Yes,10:49:47,10:51:21,93.5406,10.86,522,54
507,Mr,Sam,Sills,Sailboard,Junior,No,No,13:45:05,13:46:42,96.9967,10.85,541,69
550,Mr,Charlie,Railton,Boat,Neither,Yes,Yes,11:42:30,11:44:07,97.5918,10.41,522,54
678,Mr,Stefan,Cook,Boat,Neither,No,Yes,11:00:48,11:02:28,99.8791,10.17,522,54
550,Mr,Charlie,Railton,Boat,Neither,Yes,Yes,11:55:19,11:57:02,101.899,9.97,522,54
678,Mr,Stefan,Cook,Boat,Neither,No,Yes,12:01:28,12:03:11,102.444,9.92,522,54
678,Mr,Stefan,Cook,Boat,Neither,No,Yes,11:48:24,11:50:07,103.233,9.84,522,54
10,Mr,Ricky,Wooding,Sailboard,Neither,No,No,13:30:32,13:32:22,110.099,9.56,541,69
863,Mr,Duncan,Adam,Sailboard,Neither,No,No,11:44:47,11:46:34,108.039,9.4,522,54
678,Mr,Stefan,Cook,Boat,Neither,No,Yes,11:54:56,11:56:44,108.042,9.4,522,54
79,Mr,ROB,KING,Sailboard,Neither,Yes,No,14:14:28,14:16:23,115.39,9.12,541,69
680,Mr,John,Eaton,Boat,Master,Yes,Yes,11:55:01,11:56:56,114.985,8.83,522,54
83,Mr,David,Tuttlebee,Sailboard,Master,No,No,14:07:32,14:09:34,121.365,8.67,541,69
994,Miss,Amy,Barratt,Sailboard,Junior,Yes,No,10:53:14,10:55:16,122.161,8.32,522,54
994,Miss,Amy,Barratt,Sailboard,Junior,Yes,No,11:08:44,11:10:47,123.414,8.23,522,54
201,Miss,Elizabeth,Bowen,Sailboard,Neither,Yes,No,10:50:23,10:52:46,142.95,7.11,522,54
190,Mr,James,Grogono,Boat,Master,No,No,13:04:36,13:07:06,149.93,7.02,541,69
179,Mr,Ray,Smith,Sailboard,Master,Yes,No,13:09:15,13:11:54,158.585,6.64,541,69
164,Mr,Glenn,Weedon,Sailboard,Master,Yes,No,13:17:51,13:20:34,162.967,6.46,541,69
480,Mr,Tony,Ireland,Sailboard,Neither,No,Yes,11:06:28,11:09:06,157.88,6.43,522,54
151,Mr,Sam,Latham,Sailboard,Junior,No,No,14:03:53,14:06:48,174.462,6.03,541,69
144,Mr,Steve,Giles,Sailboard,Neither,No,No,13:02:18,13:05:19,180.638,5.83,541,69
83,Mr,David,Tuttlebee,Sailboard,Master,No,No,11:06:41,11:09:40,179.749,5.65,522,54
349,Mr,Brian "Bruno",Warner,Sailboard,Master,No,No,11:16:07,11:19:22,194.718,5.22,522,54
140,Mr,william,Oscroft,Sailboard,Neither,No,No,11:01:33,11:04:49,195.993,5.18,522,54
201,Miss,Elizabeth,Bowen,Sailboard,Neither,Yes,No,11:08:07,11:11:29,201.41,5.04,522,54
