Place,HelmName,Fleet,Status
1,Kevin Greenslade,Men's Sailboard,Pro Fleet
2,Simon Cofield,Men's Sailboard,Gold Fleet
3,Nigel Spriggs,Men's Sailboard,Gold Fleet
4,Jim Crossley,Men's Sailboard,Gold Fleet
5,Christian Body,Men's Sailboard,Gold Fleet
6,Andy Holland,Men's Sailboard,Gold Fleet
7,Michael George,Men's Sailboard,Gold Fleet
8,Jack Trollope,Men's Sailboard,Gold Fleet
9,Allan Cross,Men's Sailboard,Pro Fleet
10,Garry Connell,Men's Sailboard,Amateur
11,Dave Strudwick,Men's Sailboard,Gold Fleet
12,Jamie Bambridge,Men's Sailboard,Amateur
13,Adrian Wallis,Men's Sailboard,Gold Fleet
14,Matthew York,Men's Sailboard,Gold Fleet
15,Stephen Chatten,Men's Sailboard,Gold Fleet
16,Gavin Furmenger,Men's Sailboard,Amateur
17,Mark Ingram,Men's Sailboard,Gold Fleet
18,Chris Jackson,Men's Sailboard,Gold Fleet
19,Tom Wade,Men's Sailboard,Gold Fleet
20,Nic Dodd,Men's Sailboard,Gold Fleet
21,Neil Greentree,Men's Sailboard,Gold Fleet
22,Sam Gooch,Men's Sailboard,Amateur
23,Bryn Dampney,Men's Sailboard,Amateur
24,Bob Cunningham,Men's Sailboard,Pro Fleet
25,Jamie Walker,Men's Sailboard,Gold Fleet
26,Martin Allman,Men's Sailboard,Amateur
27,Ian Grounds,Men's Sailboard,Amateur
