Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Antony Baker,Men's Sailboard,Pro Fleet,28.26,26.73,27.49
2,Ian Richards,Men's Sailboard,Gold Fleet,27.90,26.08,26.99
3,Martyn Ogier,Men's Sailboard,Pro Fleet,27.99,25.66,26.83
4,Allan Cross,Men's Sailboard,Gold Fleet,25.71,25.51,25.61
5,Steve Jones,Men's Sailboard,Gold Fleet,25.59,25.51,25.55
6,Michael George,Men's Sailboard,Gold Fleet,25.49,25.31,25.40
7,Tris Best,Men's Sailboard,Pro Fleet,25.55,25.01,25.28
8,Adrian Wallis,Men's Sailboard,Gold Fleet,25.62,24.81,25.22
9,Nigel Spriggs,Men's Sailboard,Gold Fleet,27.42,22.91,25.17
9,Andrew Chandler,Men's Sailboard,Gold Fleet,25.18,25.17,25.17
11,Dave Strudwick,Men's Sailboard,Gold Fleet,25.79,24.03,24.91
12,Mark Collins,Men's Sailboard,Gold Fleet,25.16,22.85,24.00
13,Stephen Chatten,Men's Sailboard,Amateur,23.83,23.72,23.78
14,Nic Dodd,Men's Sailboard,Gold Fleet,24.71,22.77,23.74
15,Gavin Nicholson,Men's Sailboard,Amateur,23.86,23.49,23.68
16,Eddie Murrell,Men's Sailboard,Gold Fleet,23.75,23.14,23.45
17,Gordon Roach,Men's Sailboard,Amateur,23.42,23.39,23.41
18,Neil Greentree,Men's Sailboard,Amateur,22.03,19.38,20.71
18,Martin Allman,Men's Sailboard,Amateur,20.84,20.57,20.71
20,Trevor Funnell,Men's Sailboard,Amateur,20.91,,10.46
21,Tim Tarrington,Men's Sailboard,Amateur,18.23,,9.11
