Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Kevin Greenslade,Men's Sailboard,Gold Fleet,32.75,30.54,31.65
2,Antony Baker,Men's Sailboard,Pro Fleet,31.41,31.15,31.28
3,Dave White,Men's Sailboard,Pro Fleet,30.62,30.11,30.36
4,Pete Young,Men's Sailboard,Gold Fleet,29.96,29.89,29.93
5,Jim Crossley,Men's Sailboard,Gold Fleet,29.88,29.87,29.87
6,Ian Richards,Men's Sailboard,Gold Fleet,30.12,29.61,29.86
7,Martyn Ogier,Men's Sailboard,Pro Fleet,30.40,29.17,29.79
8,Nigel Spriggs,Men's Sailboard,Gold Fleet,29.13,28.73,28.93
9,Tris Best,Men's Sailboard,Pro Fleet,28.64,27.21,27.92
10,Steve Jones,Men's Sailboard,Gold Fleet,27.82,27.58,27.70
11,Paul Simmons,Men's Sailboard,Pro Fleet,28.21,27.09,27.65
12,Adrian Wallis,Men's Sailboard,Gold Fleet,27.60,27.56,27.58
13,Michael George,Men's Sailboard,Gold Fleet,27.72,27.42,27.57
13,Simon Pettifer,Men's Sailboard,Gold Fleet,27.57,27.56,27.57
15,Jim Brooks-Dowsett,Men's Sailboard,Gold Fleet,27.57,26.82,27.20
16,Andrew Chandler,Men's Sailboard,Gold Fleet,27.96,26.12,27.04
17,Steve Giles,Men's Sailboard,Amateur,27.09,26.50,26.80
18,Pete Cunningham,Men's Sailboard,Gold Fleet,27.25,25.95,26.60
19,Matthew York,Men's Sailboard,Amateur,27.13,25.80,26.47
20,Allan Cross,Men's Sailboard,Gold Fleet,26.39,26.37,26.38
21,Richard Hobson,Men's Sailboard,Amateur,26.46,25.75,26.10
22,Dave Strudwick,Men's Sailboard,Gold Fleet,26.57,25.04,25.81
23,Nic Dodd,Men's Sailboard,Gold Fleet,25.87,24.58,25.23
24,Mark Collins,Men's Sailboard,Gold Fleet,24.79,24.35,24.57
25,Gavin Nicholson,Men's Sailboard,Amateur,24.14,24.13,24.14
26,Richard Lloyd,Men's Sailboard,Gold Fleet,25.41,22.76,24.09
27,Stephen Chatten,Men's Sailboard,Amateur,23.50,23.36,23.43
28,Eddie Murrell,Men's Sailboard,Gold Fleet,25.17,21.22,23.19
29,Neil Greentree,Men's Sailboard,Amateur,23.60,21.55,22.57
30,Trevor Funnell,Men's Sailboard,Amateur,22.67,22.29,22.48
31,Tim Tarrington,Men's Sailboard,Amateur,23.49,21.35,22.42
32,Martin Allman,Men's Sailboard,Amateur,22.21,22.07,22.14
