Place,HelmName,Fleet,Status
1,Kevin Greenslade,Men,Gold Fleet
2,Patrick Van Hoof,Men,Gold Fleet
3,Antony Baker,Men,Pro Fleet
4,Dave White,Men,Pro Fleet
5,Pete Young,Men,Gold Fleet
6,Jim Crossley,Men,Gold Fleet
7,Ian Richards,Men,Gold Fleet
8,Martyn Ogier,Men,Pro Fleet
9,Daniel Borgelind,Men,Gold Fleet
10,Steve Flanagan,Men,Gold Fleet
11,Anders Bjorkqvist,Men,Gold Fleet
12,Nigel Spriggs,Men,Gold Fleet
13,Manfred Fuchs,Men,Gold Fleet
14,Björn Haacke,Men,Gold Fleet
15,Torsten Mallon,Men,Gold Fleet
16,Tris Best,Men,Pro Fleet
17,Steve Jones,Men,Gold Fleet
18,Paul Simmons,Men,Pro Fleet
19,Adrian Wallis,Men,Gold Fleet
20,Michael George,Men,Gold Fleet
21,Simon Pettifer,Men,Gold Fleet
22,Thorsten Niehaus,Men,Pro Fleet
23,Jim Brooks-Dowsett,Men,Gold Fleet
24,Andrew Chandler,Men,Gold Fleet
25,Steve Giles,Men,Amateur
26,Pete Cunningham,Men,Gold Fleet
27,Matthew York,Men,Amateur
28,Allan Cross,Men,Gold Fleet
29,Richard Hobson,Men,Amateur
30,Markus Wilms,Men,Gold Fleet
31,Dave Strudwick,Men,Gold Fleet
32,Nic Dodd,Men,Gold Fleet
33,Mark Collins,Men,Gold Fleet
34,Gavin Nicholson,Men,Amateur
35,Richard Lloyd,Men,Gold Fleet
36,Alastair Nichol,Men,Gold Fleet
37,Stephen Chatten,Men,Amateur
38,Eddie Murrell,Men,Gold Fleet
39,Neil Greentree,Men,Amateur
40,Trevor Funnell,Men,Amateur
41,Tim Tarrington,Men,Amateur
42,Martin Allman,Men,Amateur
