Place,HelmName,Fleet,Status
1,Richard Hobson,Men's Wingboard,Pro Fleet
2,Joe Adams,Men's Wingboard,Amateur
3,Denis Gordo,Men's Wingboard,Amateur
4,John-Paul Standish,Men's Wingboard,Amateur
5,Zack Peaple,Men's Wingboard,Amateur
