Place,Helmname,Fleet
1,Richard Hobson,Men's Wingboard
2,Joe Adams,Men's Wingboard
3,Denis Gordo,Men's Wingboard
4,John-Paul Standish,Men's Wingboard
5,Zack Peaple,Men's Wingboard
