Rank,Speed (kts),Craft Type,Name,Runs,Sail Number
1,36.18,Sailboard,Bjorn Dunkerbeck,34,114
2,33.4,Sailboard,Daniel Ellis,18,52
3,33.03,Sailboard,Rob Stack,36,777
4,33.03,Sailboard,Alan Cross,24,68
5,32.79,Sailboard,David MacInnes,38,67
6,32.61,Sailboard,John Sanderson,28,180
7,32.43,Sailboard,Keith Atkinson,14,56
8,31.91,Sailboard,Richard Jones,16,213
9,31.85,Sailboard,Stephen Corps,33,15
10,31.24,Sailboard,Robin Penna,23,75
11,30.97,Kite Board,Richard Gower,19,619
12,30.81,Sailboard,Nick Beaney,13,386
13,30.7,Sailboard,Pete Martin,19,181
14,30.65,Sailboard,Tony Morris,14,11
15,30.64,Sailboard,Simon Hinckley,27,40
16,30.59,Sailboard,Bjorn Haacke,49,4
17,30.39,Sailboard,Tristan Drane,8,7
18,30.28,Sailboard,Ian Hill,18,14
19,30.23,Sailboard,Mike Pearce,22,9
20,30.03,Sailboard,Alex Montgomery,24,1
21,30.03,Sailboard,Greg Dunnett,24,631
22,29.98,Sailboard,Richard Holgate,10,53
23,29.87,Sailboard,Peter Davis,15,73
24,29.77,Sailboard,Eugen Dunkerbeck,11,112
25,29.68,Sailboard,Neil Ellison,18,295
26,29.53,Sailboard,Trevor Whatford,13,27
27,29.19,Kite Board,Paul Bisset,3,613
28,28.95,Sailboard,Dion Hunt,9,71
29,28.77,Sailboard,Paul Simmons,28,110
30,28.77,Sailboard,Alistair Williams,16,330
31,28.72,Sailboard,Richard Trubger,15,124
32,28.54,Kite Board,Spencer Whyte,15,625
33,28.45,Sailboard,Duncan Adam,13,63
34,28.27,Sailboard,Ed Gollop,4,41
35,28.09,Sailboard,Sean Carroll,12,171
36,27.82,Sailboard,Martin Allman,12,36
37,27.69,Sailboard,Clive Ellis,9,51
38,27.44,Sailboard,Zara Davis,11,173
39,26.98,Sailboard,Amy Carter,10,85
40,26.94,Sailboard,Clyde Waite,12,500
41,26.82,Sailboard,Claude van Martyn,11,55
42,26.74,Sailboard,Nigel Spriggs,5,118
43,26.15,Sailboard,Les Paley,9,8
44,26.07,Sailboard,Andrew Ramshaw,7,90
45,25.05,Sailboard,Roger Crabb,5,88
46,24.67,Sailboard,Peter Watkinson,3,808
47,23.53,Sailboard,Theo Theinert,1,58
48,23.1,Kite Board,Richard Trubger,3,622
49,22.52,Sailboard,Paul Foster,4,239
50,22.07,Sailboard,Brian Leake,2,26
51,20.76,Boat,Malcolm Barnsley,4,70
52,16.78,Boat,Neils Haarbosch,10,907
53,16.65,Boat,Arthur Lister,1,325
54,14.62,Boat,John Peperell,10,510
55,13.13,Boat,Torix Bennett,1,101
