Place,Helmname,Fleet
1,Simon Cofield,Men's Sailboard
2,Kevin Greenslade,Men's Sailboard
3,Simon Pettifer,Men's Sailboard
3,Scotty Stallman,Men's Sailboard
5,Leigh Kingaby,Men's Sailboard
6,Garry Connell,Men's Sailboard
7,Paul Sibley,Men's Sailboard
8,Tyler Baker,Men's Sailboard
9,Adrian Wallis,Men's Sailboard
10,James Battye,Men's Sailboard
11,Alex Smith,Men's Sailboard
12,James Faley,Men's Sailboard
13,Peter Crosby,Men's Sailboard
14,Dave Strudwick,Men's Sailboard
15,Kacper Wozniak,Men's Sailboard
16,Jason Sawyer,Men's Sailboard
17,Sam Jones,Men's Sailboard
18,Gavin Nicholson,Men's Sailboard
