RaceNo,Name,Craft Type,Course,1st Run Speed (kts),2nd Run Speed (kts),2-Run Avg. Speed (kts),Points
4,Simon Pettifer,Sailboard,Harbour 1,34.43,34.399,34.415,1
4,James Battye,Sailboard,Harbour 1,34.419,34.293,34.356,2
4,Jim Crossley,Sailboard,Harbour 1,34.009,33.968,33.988,3
4,Scotty Stallman,Sailboard,Harbour 1,33.86,33.51,33.685,4
4,Paul Sibley,Sailboard,Harbour 1,31.72,31.554,31.637,5
4,Garry Connell,Sailboard,Harbour 1,31.735,31.288,31.511,6
4,Michael  George,Sailboard,Harbour 1,31.409,31.157,31.283,7
4,Jenna Gibson,Sailboard,Harbour 1,29.867,28.816,29.342,8
4,Peter Crosby,Sailboard,Harbour 1,29.246,29.219,29.232,9
4,Katharine Skinner,Sailboard,Harbour 1,26.926,26.756,26.841,10
4,Gavin Nicholson,Sailboard,Harbour 1,19.138,19.051,19.094,11
