RaceNo,Name,Craft Type,Course,1st Run Speed (kts),2nd Run Speed (kts),2-Run Avg. Speed (kts),Points
3,James Battye,Sailboard,Harbour 1,34.445,34.25,34.348,1
3,Jim Crossley,Sailboard,Harbour 1,34.245,33.753,33.999,2
3,Simon Pettifer,Sailboard,Harbour 1,33.558,33.543,33.55,3
3,Scotty Stallman,Sailboard,Harbour 1,33.606,33.294,33.45,4
3,Garry Connell,Sailboard,Harbour 1,32.313,31.317,31.815,5
3,Paul Sibley,Sailboard,Harbour 1,31.57,31.402,31.486,6
3,Jenna Gibson,Sailboard,Harbour 1,31.14,30.601,30.87,7
3,Michael  George,Sailboard,Harbour 1,30.803,30.566,30.684,8
3,Gavin Nicholson,Sailboard,Harbour 1,17.279,17.059,17.169,9
3,Olly Wood,Sailboard,Harbour 1,23.451,,11.726,10
