Sail Number,Name,Speed (kts),Runs
47,Stacey Vass,23.771,27
112,L'erborgne,21.406,14
5,Kevin Hall,20.802,5
101,Torix Bennett,20.753,22
33,Chris Evans,19.604,1
11,Tony Morris,19.559,9
15,-,18.970,3
333,Phil Hayward,18.435,6
470,-,18.096,1
584,Jean Bernard Cunin,17.451,9
1,John Montgomery,15.265,21
458,Bob Date,13.112,9
905,Steve Cole,11.917,6
171,Sean Carroll,10.298,4
10,Fred Ball,9.926,5
99,Philip Middleton,9.281,8
13,John Peperell,8.582,5
111,Nick Povey,6.208,3
8,Marie Elphage,5.714,5
18,Alan Blundell,5.344,1
