Date,Time,Sail Number,Speed (kts),Wind Speed,Seconds,Ratio
1999-10-07,11:27:46,138,27.339,19.00,34.27,1.439
1999-10-07,11:28:52,11,22.331,17.00,41.96,1.314
1999-10-07,11:29:00,9,23.147,21.00,40.48,1.102
1999-10-07,11:30:22,2,22.127,17.00,42.35,1.302
1999-10-07,11:30:27,47,26.005,20.00,36.03,1.300
1999-10-07,11:30:48,138,29.981,20.00,31.25,1.499
1999-10-07,11:32:56,9,25.424,24.00,36.86,1.059
1999-10-07,11:34:23,138,30.573,16.00,30.65,1.911
1999-10-07,11:34:50,31,26.697,20.00,35.10,1.335
1999-10-07,11:37:22,11,23.307,22.00,40.20,1.059
1999-10-07,11:37:34,9,23.825,21.00,39.33,1.135
1999-10-07,11:38:57,138,30.143,16.00,31.09,1.884
1999-10-07,11:41:34,11,23.181,17.00,40.42,1.364
1999-10-07,11:41:42,181,27.518,19.00,34.05,1.448
1999-10-07,11:42:43,101,19.837,16.00,47.23,1.240
1999-10-07,11:43:09,9,24.062,18.00,38.94,1.337
1999-10-07,11:44:41,17,23.892,21.00,39.22,1.138
1999-10-07,11:45:08,2,22.507,20.00,41.63,1.125
1999-10-07,11:46:16,5,10.570,19.00,88.65,0.556
1999-10-07,11:47:16,11,22.898,19.00,40.92,1.205
1999-10-07,11:47:49,171,24.060,17.00,38.95,1.415
1999-10-07,11:47:58,9,24.582,15.00,38.12,1.639
1999-10-07,11:48:14,17,23.959,13.00,39.11,1.843
1999-10-07,11:50:36,101,18.583,19.00,50.42,0.978
1999-10-07,11:50:58,11,22.808,19.00,41.08,1.200
1999-10-07,11:51:25,2,21.677,19.00,43.23,1.141
1999-10-07,11:52:15,9,24.028,20.00,39.00,1.201
1999-10-07,11:52:26,138,28.151,19.00,33.29,1.482
1999-10-07,11:53:40,171,22.928,15.00,40.87,1.529
1999-10-07,11:53:53,181,24.512,18.00,38.23,1.362
1999-10-07,11:54:44,11,21.192,19.00,44.21,1.115
1999-10-07,11:56:53,138,29.164,19.00,32.13,1.535
1999-10-07,11:57:04,47,26.697,22.00,35.10,1.214
1999-10-07,11:58:45,17,23.085,20.00,40.59,1.154
1999-10-07,11:58:54,9,23.861,19.00,39.27,1.256
1999-10-07,11:59:23,101,20.553,17.00,45.59,1.209
1999-10-07,11:59:36,2,21.036,19.00,44.54,1.107
1999-10-07,12:00:25,11,22.448,18.00,41.74,1.247
1999-10-07,12:00:53,47,22.418,19.00,41.80,1.180
1999-10-07,12:01:19,138,27.296,17.00,34.33,1.606
1999-10-07,12:02:36,17,24.509,19.00,38.23,1.290
1999-10-07,12:02:59,9,20.117,18.00,46.58,1.118
1999-10-07,12:03:15,171,22.961,16.00,40.81,1.435
1999-10-07,12:04:21,11,22.778,19.00,41.14,1.199
1999-10-07,12:04:28,47,28.247,21.00,33.17,1.345
1999-10-07,12:07:21,2,5.822,15.00,160.93,0.388
1999-10-07,12:07:58,197,22.358,18.00,41.91,1.242
1999-10-07,12:08:28,9,21.900,15.00,42.79,1.460
1999-10-07,12:08:54,11,22.836,18.00,41.03,1.269
1999-10-07,12:09:24,47,26.285,14.00,35.65,1.877
1999-10-07,12:10:28,171,23.336,15.00,40.15,1.556
1999-10-07,12:11:13,181,24.832,17.00,37.73,1.461
1999-10-07,12:11:52,17,22.127,20.00,42.35,1.106
1999-10-07,12:12:23,2,22.566,17.00,41.52,1.327
1999-10-07,12:12:33,9,25.237,20.00,37.13,1.262
1999-10-07,12:13:30,197,24.130,21.00,38.83,1.149
1999-10-07,12:13:41,47,27.080,19.00,34.60,1.425
1999-10-07,12:14:24,10,10.590,16.00,88.48,0.662
1999-10-07,12:14:56,17,24.373,20.00,38.45,1.219
1999-10-07,12:16:04,5,17.078,23.00,54.87,0.743
1999-10-07,12:17:03,9,23.563,22.00,39.77,1.071
1999-10-07,12:17:25,181,25.349,18.00,36.96,1.408
1999-10-07,12:17:53,171,23.336,17.00,40.15,1.373
1999-10-07,12:18:03,2,21.353,24.00,43.88,0.890
1999-10-07,12:18:49,11,23.596,18.00,39.71,1.311
1999-10-07,12:18:52,27,24.582,21.00,38.12,1.171
1999-10-07,12:19:08,101,22.387,18.00,41.86,1.244
1999-10-07,12:19:14,31,25.617,18.00,36.58,1.423
1999-10-07,12:19:38,47,26.450,17.00,35.43,1.556
1999-10-07,12:22:11,46,20.142,20.00,46.52,1.007
1999-10-07,12:22:18,197,24.093,17.00,38.89,1.417
1999-10-07,12:22:46,11,23.894,21.00,39.21,1.138
1999-10-07,12:23:31,111,23.694,21.00,39.55,1.128
1999-10-07,12:23:42,171,23.795,21.00,39.38,1.133
1999-10-07,12:23:50,27,25.538,20.00,36.69,1.277
1999-10-07,12:24:15,31,26.124,19.00,35.87,1.375
1999-10-07,12:25:17,47,27.876,25.00,33.61,1.115
1999-10-07,12:25:25,5,18.225,24.00,51.41,0.759
1999-10-07,12:25:37,6,24.760,26.00,37.84,0.952
1999-10-07,12:25:43,10,11.774,24.00,79.59,0.491
1999-10-07,12:25:47,46,21.759,22.00,43.06,0.989
1999-10-07,12:26:58,181,24.724,17.00,37.90,1.454
1999-10-07,12:27:05,11,23.825,23.00,39.33,1.036
1999-10-07,12:27:21,197,24.164,18.00,38.78,1.342
1999-10-07,12:27:39,9,24.689,20.00,37.95,1.234
1999-10-07,12:27:47,31,26.823,15.00,34.93,1.788
1999-10-07,12:28:34,101,18.168,17.00,51.57,1.069
1999-10-07,12:29:16,2,23.085,14.00,40.59,1.649
1999-10-07,12:29:27,27,19.723,15.00,47.51,1.315
1999-10-07,12:29:40,47,27.828,20.00,33.67,1.391
1999-10-07,12:31:14,11,23.305,19.00,40.21,1.227
1999-10-07,12:31:32,13,12.953,18.00,72.34,0.720
1999-10-07,12:32:04,5,17.550,17.00,53.39,1.032
1999-10-07,12:32:53,171,24.232,17.00,38.67,1.425
1999-10-07,12:34:10,197,26.207,17.00,35.75,1.542
1999-10-07,12:34:39,31,26.700,17.00,35.09,1.571
1999-10-07,12:35:10,46,23.995,28.00,39.05,0.857
1999-10-07,12:35:30,47,27.515,21.00,34.05,1.310
1999-10-07,12:35:44,10,11.905,20.00,78.71,0.595
1999-10-07,12:36:39,27,26.573,25.00,35.26,1.063
1999-10-07,12:37:17,9,22.301,22.00,42.02,1.014
1999-10-07,12:38:00,181,23.466,22.00,39.93,1.067
1999-10-07,12:38:50,11,21.842,23.00,42.90,0.950
1999-10-07,12:39:06,46,20.406,24.00,45.92,0.850
1999-10-07,12:39:42,171,23.339,23.00,40.15,1.015
1999-10-07,12:40:28,101,18.604,17.00,50.37,1.094
1999-10-07,12:40:50,31,25.927,18.00,36.14,1.440
1999-10-07,12:41:17,13,13.224,22.00,70.86,0.601
1999-10-07,12:42:00,197,23.531,19.00,39.82,1.238
1999-10-07,12:42:42,46,20.504,20.00,45.70,1.025
1999-10-07,12:43:17,2,22.127,20.00,42.35,1.106
1999-10-07,12:44:42,27,24.979,20.00,37.51,1.249
1999-10-07,12:46:52,171,22.070,18.00,42.46,1.226
1999-10-07,12:46:55,10,11.128,19.00,84.20,0.586
1999-10-07,12:47:12,47,25.500,16.00,36.75,1.594
1999-10-07,12:48:03,6,24.130,18.00,38.83,1.341
1999-10-07,12:48:45,31,26.656,17.00,35.15,1.568
1999-10-07,12:49:04,13,13.433,20.00,69.75,0.672
1999-10-07,12:49:08,197,23.661,20.00,39.60,1.183
