Place,HelmName,Fleet,Tally
1,Simon Pettifer,Sailboard,7
2,Henry Bloodworth,Sailboard,107
3,Jim Crossley,Sailboard,82
4,Scotty Stallman,Sailboard,96
5,Jenna Gibson,Sailboard,6
6,John Oliver,Sailboard,35
7,Mark Ingram,Sailboard,50
8,Garry Connell,Sailboard,41
9,Michael George,Sailboard,39
10,Scott Norman,Sailboard,81
11,Ben Robbins,Sailboard,67
12,Jonathan Ingram,Sailboard,74
13,Will Trossell,Sailboard,36
14,Scott Harrison,Sailboard,32
15,Tim Bate,Sailboard,31
16,George Fulton,Sailboard,52
17,Iain Neary,Sailboard,75
18,Richard Crosby,Sailboard,11
19,James Brake,Sailboard,43
20,Nick Deakin,Sailboard,80
21,Russell Thompson,Sailboard,94
22,Matthew Lilley,Sailboard,8
23,Maciej Bukolt,Sailboard,91
24,Andy Stuart-William,Sailboard,22
25,Lilia Yelland,Sailboard,102
26,Tim Humphreys,Sailboard,60
27,Joe Trunkfield,Sailboard,71
28,Chris Cleland,Sailboard,9
29,Chris Platt,Sailboard,23
30,Simon Barker,Sailboard,44
31,Trevor Whatford,Sailboard,62
32,Stuart Trunkfield,Sailboard,73
33,Neil Binding,Sailboard,26
34,Garry Goodwin,Sailboard,42
35,Eddie Marsh,Sailboard,20
