Place,HelmName,Fleet,Status
1,Scotty Stallman,Men's Sailboard,Pro Fleet
2,Kevin Greenslade,Men's Sailboard,Pro Fleet
3,Simon Pettifer,Men's Sailboard,Pro Fleet
4,Garry Connell,Men's Sailboard,Pro Fleet
5,Nigel Spriggs,Men's Sailboard,Pro Fleet
6,Jim Crossley,Men's Sailboard,Pro Fleet
7,Simon Chippington,Men's Sailboard,Gold Fleet
8,Joe Trunkfield,Men's Sailboard,Amateur
9,Dave Strudwick,Men's Sailboard,Gold Fleet
10,Gavin Nicholson,Men's Sailboard,Gold Fleet
11,Iain Neary,Men's Sailboard,Amateur
12,Maciej Bukolt,Men's Sailboard,Amateur
