Date,Time,Sail Number,Speed (kts),Start Wind Speed,Finish Wind Speed,Ratio
2003-10-06,11:50:34,22,28.92,16.00,17.00,1.75
2003-10-06,11:56:51,27,20.23,15.00,8.00,1.76
2003-10-06,12:00:49,43,24.26,17.00,6.00,2.11
2003-10-06,12:01:10,22,26.91,17.00,15.00,1.68
2003-10-06,12:03:21,27,21.45,18.00,16.00,1.26
2003-10-06,12:03:50,386,25.15,15.00,7.00,2.29
2003-10-06,12:03:57,42,15.69,14.00,7.00,1.49
2003-10-06,12:04:17,197,23.76,15.00,13.00,1.70
2003-10-06,12:05:58,88,16.74,13.00,9.00,1.52
2003-10-06,12:07:43,24,26.79,15.00,6.00,2.55
2003-10-06,12:11:34,22,25.53,17.00,15.00,1.60
2003-10-06,12:14:33,24,28.93,18.00,10.00,2.07
2003-10-06,12:16:49,78,11.91,16.00,13.00,0.82
2003-10-06,12:18:31,386,24.75,18.00,11.00,1.71
2003-10-06,12:20:06,114,24.84,15.00,14.00,1.71
2003-10-06,12:21:01,78,12.14,16.00,12.00,0.87
2003-10-06,12:21:05,20,21.28,13.00,12.00,1.70
2003-10-06,12:21:36,88,17.11,12.00,9.00,1.63
2003-10-06,12:22:18,71,21.93,13.00,14.00,1.62
2003-10-06,12:24:42,78,22.38,21.00,10.00,1.44
2003-10-06,12:25:01,27,21.42,22.00,10.00,1.34
2003-10-06,12:25:45,11,24.88,17.00,18.00,1.42
2003-10-06,12:26:02,43,23.58,16.00,17.00,1.43
2003-10-06,12:26:41,114,28.56,14.00,18.00,1.79
2003-10-06,12:27:32,71,25.53,15.00,9.00,2.13
2003-10-06,12:28:53,8,19.53,17.00,11.00,1.39
2003-10-06,12:28:57,78,22.01,18.00,16.00,1.29
2003-10-06,12:30:08,43,24.17,17.00,16.00,1.46
2003-10-06,12:30:17,114,29.76,15.00,17.00,1.86
2003-10-06,12:30:37,27,23.08,15.00,15.00,1.54
2003-10-06,12:30:49,88,21.73,15.00,13.00,1.55
2003-10-06,12:31:16,808,20.94,21.00,14.00,1.20
2003-10-06,12:31:27,20,18.04,19.00,16.00,1.03
2003-10-06,12:32:08,197,25.43,22.00,15.00,1.37
2003-10-06,12:32:12,11,25.29,22.00,16.00,1.33
2003-10-06,12:34:15,43,23.76,21.00,16.00,1.28
2003-10-06,12:34:38,386,27.18,14.00,20.00,1.60
2003-10-06,12:35:34,114,30.19,18.00,17.00,1.73
2003-10-06,12:36:11,27,24.33,21.00,23.00,1.11
2003-10-06,12:37:07,1,25.01,22.00,19.00,1.22
2003-10-06,12:37:15,20,22.38,26.00,18.00,1.02
2003-10-06,12:38:31,114,29.38,17.00,14.00,1.90
2003-10-06,12:38:41,71,24.81,17.00,17.00,1.46
2003-10-06,12:39:29,43,22.22,18.00,22.00,1.11
2003-10-06,12:40:00,38,12.58,19.00,22.00,0.61
2003-10-06,12:41:06,114,31.48,22.00,17.00,1.61
2003-10-06,12:41:32,386,28.57,20.00,24.00,1.30
2003-10-06,12:41:47,22,30.55,23.00,20.00,1.42
2003-10-06,12:42:35,20,23.05,19.00,20.00,1.18
2003-10-06,12:42:46,18,15.67,20.00,16.00,0.87
2003-10-06,12:42:51,1,24.29,19.00,19.00,1.28
2003-10-06,12:43:20,71,26.22,18.00,20.00,1.38
2003-10-06,12:44:20,43,24.75,18.00,7.00,1.98
