Date,Time,Sail Number,Speed (kts),Start Wind Speed,Finish Wind Speed,Ratio
2003-10-10,11:48:15,14,22.67,15.00,18.00,1.37
2003-10-10,11:48:33,1,22.99,21.00,19.00,1.15
2003-10-10,11:50:08,213,21.46,18.00,65.00,0.52
2003-10-10,11:51:02,114,29.62,18.00,16.00,1.74
2003-10-10,11:52:04,78,23.32,14.00,17.00,1.50
2003-10-10,11:52:53,14,24.73,16.00,19.00,1.41
2003-10-10,11:54:44,114,27.58,15.00,20.00,1.58
2003-10-10,11:56:44,22,27.28,20.00,19.00,1.40
2003-10-10,11:57:08,38,21.85,20.00,18.00,1.15
2003-10-10,11:57:49,213,19.93,22.00,18.00,1.00
2003-10-10,11:57:53,14,23.94,19.00,19.00,1.26
2003-10-10,11:58:30,1,22.50,17.00,16.00,1.36
2003-10-10,11:58:57,114,29.19,14.00,16.00,1.95
2003-10-10,12:01:32,22,28.45,18.00,4.00,2.59
2003-10-10,12:02:05,78,22.82,15.00,0.00,3.04
2003-10-10,12:02:12,14,23.38,15.00,0.00,3.12
2003-10-10,12:04:47,114,28.01,14.00,3.00,3.29
2003-10-10,12:06:31,14,24.26,16.00,4.00,2.43
2003-10-10,12:06:49,213,23.23,20.00,12.00,1.45
2003-10-10,12:07:38,1,21.28,17.00,18.00,1.22
2003-10-10,12:10:05,114,28.45,17.00,16.00,1.72
2003-10-10,12:10:13,14,24.46,15.00,17.00,1.53
2003-10-10,12:11:35,27,23.02,14.00,17.00,1.49
2003-10-10,12:15:24,22,26.17,19.00,4.00,2.28
2003-10-10,12:15:49,114,29.14,13.00,17.00,1.94
2003-10-10,12:16:20,14,25.87,19.00,17.00,1.44
2003-10-10,12:18:21,27,23.94,21.00,4.00,1.92
2003-10-10,12:20:11,14,25.29,17.00,18.00,1.45
2003-10-10,12:20:24,114,29.48,18.00,17.00,1.68
2003-10-10,12:23:58,27,18.65,18.00,11.00,1.29
2003-10-10,12:24:42,22,28.27,16.00,16.00,1.77
2003-10-10,12:25:11,14,24.30,15.00,16.00,1.57
2003-10-10,12:27:24,213,22.04,18.00,17.00,1.26
2003-10-10,12:29:02,24,24.33,14.00,16.00,1.62
2003-10-10,12:30:03,55,23.66,18.00,17.00,1.35
2003-10-10,12:30:15,22,27.75,14.00,15.00,1.91
2003-10-10,12:31:06,114,29.38,15.00,13.00,2.10
2003-10-10,12:31:31,14,24.67,19.00,15.00,1.45
2003-10-10,12:32:00,78,23.23,18.00,18.00,1.29
2003-10-10,12:33:33,24,25.15,20.00,15.00,1.44
2003-10-10,12:33:48,18,15.59,20.00,15.00,0.89
2003-10-10,12:34:45,27,22.67,17.00,18.00,1.30
2003-10-10,12:35:51,114,26.72,15.00,2.00,3.14
2003-10-10,12:36:21,14,22.99,19.00,15.00,1.35
2003-10-10,12:36:51,22,23.88,22.00,4.00,1.84
2003-10-10,12:38:47,277,16.11,21.00,16.00,0.87
2003-10-10,12:40:26,18,15.07,15.00,17.00,0.94
2003-10-10,12:43:50,55,22.73,14.00,15.00,1.57
2003-10-10,12:45:54,277,15.29,16.00,17.00,0.93
2003-10-10,12:46:21,18,14.05,15.00,15.00,0.94
2003-10-10,12:49:04,14,17.04,18.00,17.00,0.97
2003-10-10,12:51:42,277,15.00,11.00,15.00,1.15
2003-10-10,12:53:06,18,13.34,12.00,4.00,1.67
2003-10-10,12:57:00,38,7.84,10.00,17.00,0.58
2003-10-10,12:57:55,277,14.80,16.00,16.00,0.92
2003-10-10,12:59:48,88,12.27,17.00,14.00,0.79
2003-10-10,13:00:57,14,13.39,14.00,17.00,0.86
2003-10-10,13:01:22,18,12.36,11.00,16.00,0.92
2003-10-10,13:03:36,277,14.91,16.00,15.00,0.96
2003-10-10,13:07:10,26,20.53,12.00,14.00,1.58
2003-10-10,13:08:29,18,8.48,9.00,12.00,0.81
2003-10-10,13:09:30,88,18.14,17.00,18.00,1.04
2003-10-10,13:10:18,277,14.79,15.00,15.00,0.99
2003-10-10,13:13:26,277,13.92,15.00,12.00,1.03
2003-10-10,13:14:27,2,22.45,14.00,13.00,1.66
2003-10-10,13:15:53,27,20.29,15.00,16.00,1.31
2003-10-10,13:16:22,18,15.83,14.00,18.00,0.99
2003-10-10,13:16:41,277,15.59,15.00,17.00,0.97
2003-10-10,13:19:06,277,14.26,15.00,16.00,0.92
2003-10-10,13:19:16,88,21.93,16.00,15.00,1.41
2003-10-10,13:20:25,18,7.81,16.00,16.00,0.49
2003-10-10,13:20:44,2,23.60,19.00,17.00,1.31
2003-10-10,13:22:03,27,22.39,16.00,14.00,1.49
2003-10-10,13:24:44,18,15.68,11.00,12.00,1.36
2003-10-10,13:24:53,277,15.39,14.00,13.00,1.14
2003-10-10,13:25:08,2,24.66,15.00,12.00,1.83
2003-10-10,13:27:27,277,14.08,15.00,12.00,1.04
2003-10-10,13:27:55,325,12.52,16.00,14.00,0.83
2003-10-10,13:28:51,27,22.70,16.00,18.00,1.34
