Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Simon Pettifer,Men's Sailboard,Pro Fleet,35.50,34.06,34.78
2,Simon Cofield,Men's Sailboard,Pro Fleet,34.35,34.23,34.29
3,Kevin Greenslade,Men's Sailboard,Pro Fleet,34.56,33.88,34.22
3,Jim Crossley,Men's Sailboard,Pro Fleet,34.36,34.08,34.22
5,Scotty Stallman,Men's Sailboard,Gold Fleet,32.48,32.45,32.47
6,Leigh Kingaby,Men's Sailboard,Pro Fleet,32.47,32.34,32.40
7,Garry Connell,Men's Sailboard,Gold Fleet,32.34,32.15,32.25
8,Gavin Furmenger,Men's Sailboard,Gold Fleet,31.19,30.43,30.81
9,Kacper Wozniak,Men's Sailboard,Gold Fleet,31.34,30.12,30.73
10,Adrian Wallis,Men's Sailboard,Gold Fleet,30.63,29.77,30.20
11,Matthew York,Men's Sailboard,Gold Fleet,30.44,28.77,29.60
12,James Battye,Men's Sailboard,Gold Fleet,29.43,29.05,29.24
13,Grant Cottrell,Men's Sailboard,Gold Fleet,29.61,27.91,28.76
14,George Fulton,Men's Sailboard,Amateur,26.02,24.94,25.48
15,Trevor Whatford,Men's Sailboard,Amateur,25.42,25.19,25.30
