Place,HelmName,Fleet,Status
1,Simon Pettifer,Men's Sailboard,Pro Fleet
2,Simon Cofield,Men's Sailboard,Pro Fleet
3,Kevin Greenslade,Men's Sailboard,Pro Fleet
4,Jim Crossley,Men's Sailboard,Pro Fleet
5,Scotty Stallman,Men's Sailboard,Gold Fleet
6,Leigh Kingaby,Men's Sailboard,Pro Fleet
7,Garry Connell,Men's Sailboard,Gold Fleet
8,Gavin Furmenger,Men's Sailboard,Gold Fleet
9,Kacper Wozniak,Men's Sailboard,Gold Fleet
10,Adrian Wallis,Men's Sailboard,Gold Fleet
11,Matthew York,Men's Sailboard,Gold Fleet
12,James Battye,Men's Sailboard,Gold Fleet
13,Grant Cottrell,Men's Sailboard,Gold Fleet
14,George Fulton,Men's Sailboard,Amateur
15,Trevor Whatford,Men's Sailboard,Amateur
