Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Jenna Gibson,Men's Sailboard,Pro Fleet,29.87,28.82,29.34
2,Katharine Skinner,Men's Sailboard,Amateur,26.93,26.76,26.84
