Sail Number,Name,Speed (kts),Runs
905,Steve Cole,22.093,8
9,Mike Pearce,20.746,3
333,Phil Hayward,20.109,8
101,Torix Bennett,19.008,15
171,Sean Carroll,18.827,5
47,Stacey Vass,18.708,4
11,Tony Morris,18.649,2
100,Harvey Bowden,17.016,7
584,Jean Bernard Cunin,15.100,6
30,Keith Dunstan,12.852,8
458,Bob Date,11.589,5
8,Marie Elphage,11.172,5
10,Fred Ball,10.453,14
13,John Peperell,8.048,2
98,Neils Haarbosch,5.261,4
7,Jean-Yves Salaun,4.002,3
