Sail Number,Name,Time,Speed (kts),Wind
2,Ed Gollop,16:29:35,27.57,21
2,Ed Gollop,16:16:36,26.96,19
2,Ed Gollop,16:41:05,26.01,26
2,Ed Gollop,16:25:15,5.2,14
3,Andrew Freeman,13:47:27,29.98,20
3,Andrew Freeman,14:12:46,29.88,17
3,Andrew Freeman,11:59:32,29.63,23
3,Andrew Freeman,12:23:02,29.4,23
3,Andrew Freeman,11:25:12,29.13,28
3,Andrew Freeman,12:12:32,29.09,30
3,Andrew Freeman,11:35:21,28.86,19
5,Chris Cunningham,15:26:14,31.81,20
5,Chris Cunningham,15:46:37,31.64,20
5,Chris Cunningham,13:40:58,31.29,24
5,Chris Cunningham,15:34:08,31.28,26
5,Chris Cunningham,14:29:19,31.13,25
5,Chris Cunningham,15:09:18,30.94,22
5,Chris Cunningham,14:20:20,30.93,35
5,Chris Cunningham,12:29:12,30.59,24
5,Chris Cunningham,13:27:01,30.36,16
5,Chris Cunningham,15:52:46,30.21,25
5,Chris Cunningham,15:19:05,30.12,27
5,Chris Cunningham,16:42:23,30.06,25
5,Chris Cunningham,11:46:53,30,21
5,Chris Cunningham,14:00:26,29.93,33
5,Chris Cunningham,16:26:23,29.83,19
5,Chris Cunningham,13:50:00,29.74,18
5,Chris Cunningham,16:53:40,29.21,22
5,Chris Cunningham,12:21:01,29.13,21
5,Chris Cunningham,16:05:58,29.02,22
5,Chris Cunningham,11:57:39,28.99,26
5,Chris Cunningham,16:50:16,28.09,26
5,Chris Cunningham,16:57:07,27.81,19
5,Chris Cunningham,12:05:34,27.4,22
6,Andrew Blain,15:43:26,26.12,26
6,Andrew Blain,11:37:17,26.02,24
6,Andrew Blain,13:55:01,25.73,22
6,Andrew Blain,14:18:14,25.46,26
6,Andrew Blain,14:07:55,25.26,19
6,Andrew Blain,12:04:30,25.25,27
6,Andrew Blain,12:20:20,25.25,28
6,Andrew Blain,15:24:36,24.71,28
6,Andrew Blain,16:06:41,24.52,19
6,Andrew Blain,13:43:44,23.25,28
8,les paley,11:52:20,27.4,19
8,les paley,15:01:07,25.39,26
8,les paley,14:10:03,24.93,12
8,les paley,12:11:04,24.63,18
8,les paley,13:54:44,21.8,26
11,Bjorn Dunkerbeck,13:20:50,36.57,26
11,Bjorn Dunkerbeck,13:28:03,36.51,31
11,Bjorn Dunkerbeck,11:42:11,35.83,20
11,Bjorn Dunkerbeck,11:47:30,35.56,29
11,Bjorn Dunkerbeck,11:38:15,35.49,22
11,Bjorn Dunkerbeck,12:01:16,35.37,25
11,Bjorn Dunkerbeck,11:56:31,35.31,20
11,Bjorn Dunkerbeck,13:32:14,35.04,34
11,Bjorn Dunkerbeck,11:13:10,35.03,27
11,Bjorn Dunkerbeck,14:11:52,34.59,27
11,Bjorn Dunkerbeck,12:21:09,34.52,26
11,Bjorn Dunkerbeck,12:15:30,34.15,17
11,Bjorn Dunkerbeck,12:27:07,34.15,13
11,Bjorn Dunkerbeck,12:08:50,34.08,21
11,Bjorn Dunkerbeck,13:40:36,34.06,22
11,Bjorn Dunkerbeck,16:17:01,33.82,18
11,Bjorn Dunkerbeck,15:57:02,33.46,23
11,Bjorn Dunkerbeck,11:29:39,33.32,26
11,Bjorn Dunkerbeck,11:33:12,33.2,25
11,Bjorn Dunkerbeck,13:58:16,32.78,25
11,Bjorn Dunkerbeck,15:47:50,32.07,22
11,Bjorn Dunkerbeck,16:23:59,31.81,20
11,Bjorn Dunkerbeck,14:03:33,22.47,30
12,Simon Burgess,11:36:46,30.53,23
12,Simon Burgess,11:26:14,29.81,26
12,Simon Burgess,11:14:40,29.58,25
12,Simon Burgess,15:07:16,29.52,29
12,Simon Burgess,15:15:26,29.48,29
12,Simon Burgess,15:23:18,29.39,29
12,Simon Burgess,13:41:11,29.2,23
12,Simon Burgess,13:19:18,29.11,20
12,Simon Burgess,12:09:30,28.99,26
12,Simon Burgess,15:45:14,28.99,24
12,Simon Burgess,14:20:01,28.94,28
12,Simon Burgess,15:51:45,28.9,26
12,Simon Burgess,13:56:34,28.76,23
12,Simon Burgess,15:29:07,28.68,23
12,Simon Burgess,11:48:37,28.56,30
12,Simon Burgess,13:29:22,28.47,26
12,Simon Burgess,14:04:37,28.47,28
12,Simon Burgess,15:39:12,28.22,28
12,Simon Burgess,12:00:46,28.14,18
12,Simon Burgess,15:57:33,28.01,27
12,Simon Burgess,16:05:11,27.69,22
12,Simon Burgess,16:14:09,27.61,29
12,Simon Burgess,14:11:56,26.05,21
13,Robert Munn,15:09:10,26.73,27
13,Robert Munn,15:20:59,25.74,23
13,Robert Munn,15:30:17,24.9,25
14,Ian Hill,14:13:18,31.7,20
14,Ian Hill,14:18:36,30.83,38
14,Ian Hill,14:09:01,29.7,31
15,Torsten Niehaus,13:31:52,30.98,25
15,Torsten Niehaus,14:02:08,30.69,24
15,Torsten Niehaus,12:17:57,30.24,21
15,Torsten Niehaus,13:50:44,29.83,24
15,Torsten Niehaus,15:51:26,28.99,29
15,Torsten Niehaus,11:52:24,28.47,21
15,Torsten Niehaus,16:03:52,27.77,21
17,James Paine,14:27:22,32.66,28
17,James Paine,13:25:30,32.18,19
17,James Paine,15:33:46,31.85,19
17,James Paine,15:44:01,31.7,24
17,James Paine,15:24:12,31.6,27
17,James Paine,15:03:49,31.39,26
17,James Paine,13:06:00,31.09,22
17,James Paine,15:13:10,30.93,24
17,James Paine,16:39:28,30.45,27
17,James Paine,13:33:21,30.4,29
17,James Paine,13:19:01,30.3,21
17,James Paine,13:12:10,29.93,19
17,James Paine,16:19:54,29.88,30
17,James Paine,16:44:09,29.43,34
17,James Paine,16:51:31,28.99,24
17,James Paine,15:58:43,28.99,24
17,James Paine,16:06:45,28.8,16
17,James Paine,16:30:26,28.06,25
19,richard ashenden,13:18:23,31.6,24
19,richard ashenden,13:52:06,31.44,26
19,richard ashenden,13:29:28,31.29,33
19,richard ashenden,15:44:06,31.14,19
19,richard ashenden,14:06:19,30.99,23
19,richard ashenden,15:07:09,30.79,22
19,richard ashenden,13:40:06,30.59,21
19,richard ashenden,11:30:21,30.58,26
19,richard ashenden,13:08:54,30.54,21
19,richard ashenden,14:13:00,30.45,16
19,richard ashenden,15:35:42,30.4,25
19,richard ashenden,13:03:30,30.26,24
19,richard ashenden,15:16:11,29.93,30
19,richard ashenden,12:10:34,29.62,19
19,richard ashenden,11:39:25,28.73,29
19,richard ashenden,16:26:39,28.26,16
19,richard ashenden,16:13:50,1.29,23
22,Peter Cunningham,11:27:33,32.46,24
22,Peter Cunningham,11:49:31,32.4,27
22,Peter Cunningham,13:26:46,32.28,21
22,Peter Cunningham,11:42:27,32.19,26
22,Peter Cunningham,12:30:37,32.02,33
22,Peter Cunningham,12:25:03,31.87,30
22,Peter Cunningham,13:50:55,31.49,18
22,Peter Cunningham,11:36:09,31.34,25
22,Peter Cunningham,14:00:14,31.19,32
22,Peter Cunningham,15:30:45,31.13,23
22,Peter Cunningham,12:07:56,31.03,24
22,Peter Cunningham,12:15:52,30.88,28
22,Peter Cunningham,13:39:27,30.84,31
22,Peter Cunningham,16:45:01,30.79,21
22,Peter Cunningham,16:01:23,30.69,27
22,Peter Cunningham,11:57:28,29.04,25
22,Peter Cunningham,16:30:37,27.81,15
23,Barry Mason,11:36:37,30.2,27
23,Barry Mason,11:55:36,29.4,23
23,Barry Mason,13:40:49,28.85,18
23,Barry Mason,12:24:45,28.77,20
23,Barry Mason,15:03:15,28.69,23
23,Barry Mason,13:54:35,28.64,27
23,Barry Mason,14:25:17,28.47,20
23,Barry Mason,14:10:27,28.47,21
