Date,Time,Sail Number,Speed (kts),Start Wind Speed,Finish Wind Speed,Ratio
2000-10-02,15:41:05,381,22.39,13.00,11.00,1.87
2000-10-02,15:41:23,88,18.07,12.00,15.00,1.34
2000-10-02,15:45:03,124,3.14,22.00,11.00,0.19
2000-10-02,15:47:16,381,25.94,16.00,13.00,1.79
2000-10-02,15:48:20,150,22.78,22.00,20.00,1.08
2000-10-02,15:49:07,7,16.67,17.00,16.00,1.01
2000-10-02,15:49:26,9,23.34,18.00,22.00,1.17
2000-10-02,15:51:13,124,23.70,25.00,16.00,1.16
2000-10-02,15:52:12,381,26.43,19.00,18.00,1.43
2000-10-02,15:56:24,381,26.58,14.00,25.00,1.36
2000-10-02,15:58:51,7,25.04,19.00,17.00,1.39
2000-10-02,16:00:02,8,21.49,20.00,13.00,1.30
2000-10-02,16:00:51,381,16.30,18.00,18.00,0.91
2000-10-02,16:02:48,150,21.21,15.00,23.00,1.12
2000-10-02,16:04:27,381,26.47,22.00,16.00,1.39
2000-10-02,16:06:54,124,22.84,15.00,17.00,1.43
2000-10-02,16:08:24,7,25.50,17.00,19.00,1.42
2000-10-02,16:09:26,381,26.47,16.00,17.00,1.60
2000-10-02,16:11:55,27,22.70,16.00,19.00,1.30
2000-10-02,16:12:49,124,21.69,18.00,22.00,1.08
2000-10-02,16:13:27,9,22.84,17.00,14.00,1.47
2000-10-02,16:13:57,381,25.47,16.00,19.00,1.46
2000-10-02,16:15:42,7,22.01,19.00,22.00,1.07
2000-10-02,16:17:52,66,21.39,19.00,12.00,1.38
2000-10-02,16:18:43,27,20.94,19.00,12.00,1.35
2000-10-02,16:18:51,381,24.08,13.00,18.00,1.55
2000-10-02,16:26:12,124,19.46,12.00,16.00,1.39
