Date,Time,Sail Number,Speed (kts),Start Wind Speed,Finish Wind Speed,Ratio
2000-10-03,15:12:12,88,21.84,0.00,0.00,
2000-10-03,15:14:03,11,14.67,0.00,0.00,
2000-10-03,15:15:06,1,12.42,0.00,0.00,
2000-10-03,15:15:45,88,16.91,0.00,0.00,
2000-10-03,15:15:48,30,10.62,0.00,0.00,
2000-10-03,15:17:33,1,12.35,0.00,0.00,
2000-10-03,15:20:05,17,6.02,0.00,0.00,
2000-10-03,15:20:28,1,11.61,0.00,0.00,
2000-10-03,15:21:51,17,18.36,0.00,0.00,
2000-10-03,15:23:03,173,19.92,0.00,0.00,
2000-10-03,15:23:13,88,20.07,0.00,0.00,
2000-10-03,15:23:16,1,12.39,0.00,0.00,
2000-10-03,15:23:30,17,22.86,0.00,0.00,
2000-10-03,15:25:08,501,12.03,0.00,0.00,
2000-10-03,15:25:11,23,21.84,0.00,0.00,
2000-10-03,15:26:00,30,12.63,0.00,0.00,
2000-10-03,15:26:17,171,20.19,0.00,0.00,
2000-10-03,15:26:20,1,13.37,0.00,0.00,
2000-10-03,15:26:27,17,18.24,0.00,0.00,
2000-10-03,15:27:04,173,18.82,0.00,0.00,
2000-10-03,15:27:23,88,16.74,0.00,0.00,
2000-10-03,15:28:00,17,25.61,0.00,0.00,
2000-10-03,15:28:16,23,18.92,0.00,0.00,
2000-10-03,15:28:36,501,10.72,0.00,0.00,
2000-10-03,15:29:06,11,17.86,0.00,0.00,
2000-10-03,15:29:10,1,13.29,0.00,0.00,
2000-10-03,15:29:32,171,24.25,0.00,0.00,
2000-10-03,15:30:50,173,20.19,0.00,0.00,
2000-10-03,15:30:59,30,7.71,0.00,0.00,
2000-10-03,15:31:22,501,12.64,0.00,0.00,
2000-10-03,15:31:51,23,21.29,0.00,0.00,
2000-10-03,15:31:55,1,12.16,0.00,0.00,
2000-10-03,15:32:03,17,27.20,0.00,0.00,
2000-10-03,15:34:16,501,11.93,0.00,0.00,
2000-10-03,15:35:07,27,24.86,0.00,0.00,
2000-10-03,15:35:15,1,13.50,0.00,0.00,
2000-10-03,15:37:09,30,11.47,14.00,16.00,0.76
2000-10-03,15:38:01,501,11.94,19.00,20.00,0.61
2000-10-03,15:38:36,17,27.92,23.00,16.00,1.43
2000-10-03,15:38:56,505,23.61,22.00,18.00,1.18
2000-10-03,15:39:19,173,19.78,19.00,22.00,0.96
2000-10-03,15:40:26,23,20.52,21.00,17.00,1.08
2000-10-03,15:42:13,30,6.18,20.00,15.00,0.35
2000-10-03,15:42:20,68,16.05,20.00,21.00,0.78
2000-10-03,15:43:15,27,24.86,16.00,20.00,1.38
2000-10-03,15:45:04,501,13.29,19.00,17.00,0.74
2000-10-03,15:46:10,23,21.94,17.00,22.00,1.13
2000-10-03,15:48:04,501,10.79,18.00,17.00,0.62
2000-10-03,15:48:57,88,20.96,18.00,14.00,1.31
2000-10-03,15:48:59,30,12.81,20.00,14.00,0.75
2000-10-03,15:49:35,27,22.49,16.00,15.00,1.45
2000-10-03,15:50:16,1,12.07,21.00,16.00,0.65
2000-10-03,15:53:51,23,10.74,18.00,17.00,0.61
2000-10-03,15:55:06,1,9.10,15.00,15.00,0.61
2000-10-03,15:55:54,501,11.27,21.00,19.00,0.56
2000-10-03,15:58:56,30,6.45,21.00,17.00,0.34
2000-10-03,15:59:17,171,24.20,15.00,14.00,1.67
2000-10-03,15:59:35,17,9.66,14.00,23.00,0.52
2000-10-03,15:59:41,501,11.82,18.00,23.00,0.58
2000-10-03,16:00:34,88,21.60,21.00,17.00,1.14
2000-10-03,16:01:08,30,12.65,15.00,16.00,0.82
2000-10-03,16:01:26,23,21.73,21.00,12.00,1.32
2000-10-03,16:06:18,88,21.80,20.00,18.00,1.15
2000-10-03,16:06:37,30,4.90,20.00,20.00,0.25
2000-10-03,16:08:15,501,11.50,14.00,24.00,0.61
2000-10-03,16:11:19,1,13.27,16.00,20.00,0.74
2000-10-03,16:11:42,171,24.68,17.00,19.00,1.37
2000-10-03,16:12:13,501,10.54,17.00,20.00,0.57
2000-10-03,16:12:28,88,19.64,20.00,22.00,0.94
2000-10-03,16:13:43,1,12.11,19.00,18.00,0.65
2000-10-03,16:14:37,11,25.14,21.00,18.00,1.29
2000-10-03,16:15:28,501,11.94,21.00,11.00,0.75
2000-10-03,16:16:24,124,22.86,22.00,17.00,1.17
