Date,Time,Sail Number,Speed (kts),Start Wind Speed,Finish Wind Speed,Ratio
2000-10-03,11:00:08,27,24.67,16.00,16.00,1.54
2000-10-03,11:06:56,171,23.69,19.00,12.00,1.53
2000-10-03,11:09:25,505,19.95,14.00,15.00,1.38
2000-10-03,11:13:54,171,20.22,12.00,19.00,1.30
2000-10-03,11:14:57,1,13.33,11.00,11.00,1.21
2000-10-03,11:18:01,27,25.20,15.00,17.00,1.57
2000-10-03,11:20:51,171,25.56,14.00,16.00,1.70
2000-10-03,11:20:57,1,12.47,17.00,19.00,0.69
2000-10-03,11:22:32,38,22.24,14.00,18.00,1.39
2000-10-03,11:23:54,9,23.02,11.00,16.00,1.71
2000-10-03,11:24:49,27,23.50,17.00,11.00,1.68
2000-10-03,11:25:41,17,21.67,11.00,10.00,2.06
2000-10-03,11:27:21,1,10.92,16.00,12.00,0.78
2000-10-03,11:27:32,171,24.11,13.00,19.00,1.51
2000-10-03,11:28:45,9,23.85,15.00,14.00,1.64
2000-10-03,11:33:14,505,25.13,13.00,14.00,1.86
2000-10-03,11:33:30,9,23.05,16.00,15.00,1.49
2000-10-03,11:33:36,17,25.97,14.00,14.00,1.85
2000-10-03,11:34:39,171,24.33,18.00,12.00,1.62
2000-10-03,11:35:29,181,17.71,15.00,10.00,1.42
2000-10-03,11:38:36,25,13.48,20.00,18.00,0.71
2000-10-03,11:39:35,171,25.82,17.00,17.00,1.52
2000-10-03,11:40:08,17,24.11,17.00,20.00,1.30
2000-10-03,11:40:25,27,23.94,11.00,16.00,1.77
2000-10-03,11:41:08,9,24.33,15.00,14.00,1.68
2000-10-03,11:43:00,150,20.27,16.00,16.00,1.27
2000-10-03,11:43:13,505,22.35,20.00,17.00,1.21
2000-10-03,11:43:51,25,16.19,14.00,13.00,1.20
2000-10-03,11:46:52,1,11.05,15.00,16.00,0.71
2000-10-03,11:47:01,66,24.84,12.00,16.00,1.77
2000-10-03,11:47:25,38,22.58,14.00,11.00,1.81
2000-10-03,11:47:51,7,25.85,10.00,18.00,1.85
2000-10-03,11:49:02,25,18.78,15.00,15.00,1.25
2000-10-03,11:51:07,15,25.82,16.00,16.00,1.61
2000-10-03,11:52:24,124,20.77,12.00,18.00,1.38
2000-10-03,11:53:24,181,22.90,15.00,15.00,1.53
2000-10-03,11:54:42,25,18.52,13.00,15.00,1.32
2000-10-03,11:55:12,11,24.67,14.00,12.00,1.90
2000-10-03,11:55:42,1,11.61,16.00,14.00,0.77
2000-10-03,11:56:03,66,26.35,13.00,9.00,2.40
2000-10-03,11:57:04,7,22.69,16.00,11.00,1.68
2000-10-03,11:57:37,38,21.54,16.00,18.00,1.27
2000-10-03,11:58:23,181,24.40,16.00,13.00,1.68
2000-10-03,11:59:52,124,21.83,12.00,17.00,1.51
2000-10-03,12:00:02,501,10.95,12.00,17.00,0.76
2000-10-03,12:02:01,1,12.16,15.00,14.00,0.84
2000-10-03,12:02:23,17,26.86,15.00,22.00,1.45
2000-10-03,12:02:44,505,25.63,16.00,18.00,1.51
2000-10-03,12:02:58,9,26.04,18.00,18.00,1.45
2000-10-03,12:03:37,181,28.36,22.00,16.00,1.49
2000-10-03,12:04:13,150,23.47,12.00,24.00,1.30
2000-10-03,12:04:34,171,25.70,13.00,17.00,1.71
2000-10-03,12:04:43,27,24.77,17.00,14.00,1.60
2000-10-03,12:05:21,7,27.19,13.00,9.00,2.47
2000-10-03,12:06:01,66,26.66,16.00,19.00,1.52
