Sail Number,Name,Time,Speed
11,Bjorn Dunkerbeck,15:11:01,32.03
157,Nigel Spriggs,15:26:49,28.96
180,John Sanderson,15:25:53,28.65
22,Peter Cunningham,15:13:26,28.51
40,Simon Hinkley,16:51:00,28.39
323,Dan Simpson,15:29:14,28.39
604,Tony Morris,15:22:19,28.17
44,David Strudwick,16:50:34,27.40
113,Victor Cuoro,16:18:07,27.06
451,Xavier Ferlet,17:02:06,27.05
559,Tony Attfield,16:49:01,27.02
666,Matthew Burridge,16:51:24,26.94
625,Nigel Bowley,16:03:00,26.75
631,Charles Wilson,15:22:45,26.60
103,Ricky Wooding,15:14:09,26.49
731,Zara Davis,16:53:26,26.31
32,Richard Jones,15:29:22,26.19
609,Stacey Vass,15:23:26,26.19
651,Orlando Lavandera Rodriguez,16:49:08,26.15
945,Sam Gooch,17:00:22,26.09
131,Paul Simmons,16:48:42,25.91
99,Gordon Roach,15:14:42,25.66
169,Austin Hind,15:11:57,25.56
555,Claude Van-Martyn,16:48:21,25.39
69,Mike Pearce,15:22:14,25.29
440,James Grant,11:34:34,25.13
120,Larry Chan,15:15:36,25.02
5,Chris Cunningham,15:07:20,25.02
56,Keith  Atkinson,14:26:00,24.96
142,John Langdon,15:22:39,24.93
27,Trevor Whatford,15:14:01,24.76
28,James Morris,16:34:51,24.67
948,Liam Round,16:34:15,24.66
332,Mike Coombes,15:20:10,24.54
41,Ashley Vernon,15:19:17,24.04
46,Denis Royet,11:02:54,24.04
171,Sean Carroll,14:48:55,23.98
863,Duncan Adam,14:49:39,23.95
15,Torsten Niehaus,11:53:19,23.95
51,Clive Ellis,15:03:23,23.92
188,Roger Crab,14:10:04,23.83
941,Alex Smith,16:46:59,23.83
711,Chris Addison,14:38:02,23.80
65,Simon Butler,15:21:24,23.71
82,Kevin Greenslade,10:29:10,23.60
701,Charles Thompson,11:46:35,23.51
12,Simon Burgess,15:20:23,23.51
621,Sam Latham,16:53:17,23.33
349,Brian Warner,15:12:25,23.22
598,Michael John Roberts,15:16:38,23.16
780,Jane Sanderson,14:39:30,22.18
58,Graeme Fuller,16:17:02,21.65
20,Mike Walklin,16:35:59,20.99
16,Mark Spreadbury,14:17:33,20.99
668,William Rowles,16:49:40,20.80
23,Barry Mason,11:08:55,20.23
48,Marcus Partridge,15:24:41,20.06
206,Martin Allman,11:58:15,19.77
413,Neil Hardwick,11:37:11,19.63
38,Pierre Saville,14:24:59,19.07
997,Cory Percival,14:47:41,17.65
127,David Connor,14:05:28,17.65
26,Brian Leake,11:55:34,16.11
277,Kévin Gobin,11:06:37,14.82
624,Graeme Fuller,14:23:33,13.76
333,David Barnard,11:46:04,0.68
