Sail Number,Name,Time,Speed (kts)
451,Xavier Ferlet,12:26:14,25.57
323,Dan Simpson,11:43:01,25.49
11,Bjorn Dunkerbeck,11:59:27,25.30
32,Richard Jones Jr,11:49:05,25.30
31,Paul Morris,11:42:04,25.01
321,Ian Jones,11:59:00,24.61
103,Ricky Wooding,11:47:17,23.69
332,Mike Coombes,11:35:16,23.03
40,Simon Hinkley,12:08:04,22.57
171,Sean Carroll,11:44:32,22.33
948,Liam Round,11:27:41,22.17
941,Alex Smith,11:46:06,21.63
945,Sam Gooch,12:33:53,21.55
621,Sam Latham,12:24:30,21.49
44,David Strudwick,12:16:31,19.54
138,Charles Thompson,11:58:03,18.10
48,Marcus Partridge,11:44:02,17.80
668,William Rowles,11:32:38,17.22
349,Brian "Bruno" Warner,12:22:20,15.77
277,Kévin Gobin,11:40:29,12.92
598,Michael Roberts,12:39:06,8.74
