Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Scotty Stallman,Men's Sailboard,Pro Fleet,34.33,34.11,34.22
2,Simon Pettifer,Men's Sailboard,Pro Fleet,34.06,33.69,33.87
3,James Battye,Men's Sailboard,Pro Fleet,33.93,33.71,33.82
4,Garry Connell,Men's Sailboard,Gold Fleet,32.59,32.32,32.45
5,Paul Sibley,Men's Sailboard,Gold Fleet,31.93,31.71,31.82
6,Michael George,Men's Sailboard,Gold Fleet,31.47,31.14,31.31
7,Shaun Cook,Men's Sailboard,Pro Fleet,31.16,30.62,30.89
8,Adrian Wallis,Men's Sailboard,Gold Fleet,30.75,30.35,30.55
9,Dave Strudwick,Men's Sailboard,Gold Fleet,30.61,30.39,30.50
10,George Fulton,Men's Sailboard,Gold Fleet,30.93,29.86,30.40
11,Nick Deakin,Men's Sailboard,Amateur,29.50,29.43,29.47
12,Trevor Whatford,Men's Sailboard,Gold Fleet,27.98,27.48,27.73
13,Gerry Northwood,Men's Sailboard,Gold Fleet,27.83,26.83,27.33
14,Tom Joyce,Men's Sailboard,Amateur,27.17,26.05,26.61
15,Harry Keenan,Men's Sailboard,Gold Fleet,26.91,25.93,26.42
16,Tim Whealy,Men's Sailboard,Amateur,24.94,24.82,24.88
17,Neven Juretic,Men's Sailboard,Amateur,29.15,,14.58
18,Olly Wood,Men's Sailboard,Amateur,27.10,,13.55
