Place,HelmName,Fleet,Status
1,Scotty Stallman,Men's Sailboard,Pro Fleet
2,Simon Pettifer,Men's Sailboard,Pro Fleet
3,James Battye,Men's Sailboard,Pro Fleet
4,Garry Connell,Men's Sailboard,Gold Fleet
5,Paul Sibley,Men's Sailboard,Gold Fleet
6,Michael George,Men's Sailboard,Gold Fleet
7,Shaun Cook,Men's Sailboard,Pro Fleet
8,Adrian Wallis,Men's Sailboard,Gold Fleet
9,Dave Strudwick,Men's Sailboard,Gold Fleet
10,George Fulton,Men's Sailboard,Gold Fleet
11,Nick Deakin,Men's Sailboard,Amateur
12,Trevor Whatford,Men's Sailboard,Gold Fleet
13,Gerry Northwood,Men's Sailboard,Gold Fleet
14,Tom Joyce,Men's Sailboard,Amateur
15,Harry Keenan,Men's Sailboard,Gold Fleet
16,Tim Whealy,Men's Sailboard,Amateur
17,Neven Juretic,Men's Sailboard,Amateur
18,Olly Wood,Men's Sailboard,Amateur
