Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Scotty Stallman,Men's Sailboard,Pro Fleet,33.01,32.68,32.84
2,Simon Pettifer,Men's Sailboard,Pro Fleet,32.96,32.44,32.70
3,James Battye,Men's Sailboard,Pro Fleet,32.64,32.60,32.62
4,Garry Connell,Men's Sailboard,Gold Fleet,31.29,31.07,31.18
5,Paul Sibley,Men's Sailboard,Gold Fleet,30.34,30.27,30.31
6,Michael George,Men's Sailboard,Gold Fleet,29.87,29.85,29.86
7,Adrian Wallis,Men's Sailboard,Gold Fleet,29.39,28.80,29.10
8,Olly Wood,Men's Sailboard,Amateur,28.29,27.39,27.84
9,Gerry Northwood,Men's Sailboard,Gold Fleet,26.72,25.97,26.35
10,Harry Keenan,Men's Sailboard,Gold Fleet,25.68,25.27,25.48
11,Tim Whealy,Men's Sailboard,Amateur,23.47,22.83,23.15
12,Gavin Nicholson,Men's Sailboard,Gold Fleet,22.90,21.79,22.34
