Rank,Speed (kts),Craft Type,Name,Runs,Sail Number
1,26.83,Kite Board,Jeremy Waitt,5,604
2,25.60,Sailboard,David MacInnes,12,67
3,24.41,Kite Board,Stacey Vass,4,617
4,23.45,Sailboard,Neil Ellison,3,295
5,21.27,Sailboard,Bjorn Dunkerbeck,2,114
6,20.95,Sailboard,Bjorn Haacke,9,4
7,20.90,Sailboard,Robin Penna,3,75
8,20.76,Sailboard,Clive Ellis,3,51
9,20.24,Sailboard,Tony Morris,7,11
10,20.08,Sailboard,Mike Pearce,7,9
11,19.88,Sailboard,Amy Carter,5,85
12,19.05,Sailboard,Nigel Spriggs,3,118
13,18.99,Sailboard,Les Paley,4,8
14,18.87,Sailboard,Barry Mason,8,23
15,18.10,Boat,Malcolm Barnsley,5,70
16,16.76,Sailboard,Alan Cross,3,68
17,16.51,Sailboard,Brian Leake,7,26
18,16.29,Sailboard,Pierre Saville,1,38
19,15.32,Kite Board,Richard Trubger,4,622
20,12.15,Boat,Torix Bennett,10,121
21,11.94,Sailboard,Paul Simmons,1,110
22,9.91,Boat,John Peperell,7,510
23,9.66,Sailboard,Paul Foster,1,239
24,7.18,Sailboard,Simon Hinckley,2,40
25,6.20,Sailboard,Sean Carroll,2,171
26,5.99,Boat,Richard Jenkins,2,50
27,4.97,Sailboard,Ian Hill,1,14
28,4.58,Sailboard,Claude van Martyn,1,55
29,4.20,Sailboard,Peter Watkinson,2,808
