Rank,Speed (kts),Craft Type,Name,Runs,Sail Number
1,30.94,Sailboard,Stephen Corps,14,15
2,30.49,Sailboard,Richard Eagle,7,69
3,30.2,Sailboard,Pete Martin,19,181
4,30.01,Sailboard,James Paine,7,17
5,29.82,Sailboard,Tony Morris,15,11
6,28.83,Sailboard,Rob Gough,12,66
7,28.61,Sailboard,Matt Spooner,10,150
8,28.39,Sailboard,Angus Hitchin,9,7
9,27.94,Sailboard,Mike Pearce,13,9
10,27.65,Sailboard,Trevor Whatford,16,27
11,27.61,Sailboard,Sean Carroll,8,171
12,26.2,Sailboard,Les Paley,5,8
13,25.91,Sailboard,Roger Crabb,6,88
14,25.67,Sailboard,Danny Norris,11,622
15,25.56,Sailboard,,3,5
16,23.89,Sailboard,Dave Goodrich,4,197
17,16.89,Boat,Alex Montgomery,18,1
18,12.82,Boat,John Peperell,5,501
