Rank,Speed (kts),Craft Type,Name,Runs,Sail Number
1,20.72,Sailboard,Angus Hitchin,5,7
2,19.5,Sailboard,Rob Gough,5,66
3,19.06,Sailboard,Mike Pearce,7,9
4,18.29,Sailboard,Tony Morris,5,11
5,18.26,Sailboard,Nick Povey,7,111
6,18.24,Sailboard,Matt Spooner,3,150
7,17.71,Sailboard,Les Paley,7,8
8,16.94,Sailboard,Dave Goodrich,4,197
9,16.55,Boat,George Chapman,14,28
10,15.23,Boat,Dick Ogilvie,4,25
11,14.09,Boat,Jim Paine/Nick Povey,23,50
12,11.11,Boat,Bob Date,20,458
13,10.45,Boat,Alex Montgomery,18,1
14,9.77,Boat,John Peperell,16,501
15,9.55,TBC,-,7,274
16,9.1,Sailboard,Danny Norris + Will Oscroft,7,6222
17,8.46,Boat,Hywel Price,13,30
18,7.24,Sailboard,Roger Crabb,10,88
19,6.12,TBC,Bob Hill,5,61
20,5.63,Sailboard,Robin Ball,3,12
21,4.68,Sailboard,Trevor Whatford,3,27
22,4.66,Boat,Alan Blundell,9,18
