Rank,Speed (kts),Craft Type,Name,Runs,Sail Number
1,7.42,Boat,Chris Evans + Philip Middleton,28,99
2,7.18,Boat,John Peperell,12,501
3,7.13,Boat,George Chapman,6,28
4,6.80,Sailboard,Jim Paine,10,17
5,4.61,Boat,Slade Penoyre,12,79
6,4.47,Sailboard,Trevor Whatford,5,27
