Date,Time,Sail Number,Speed (kts),Start Wind Speed,Finish Wind Speed,Ratio
2001-10-03,11:36:38,2,5.77,0.00,16.00,0.72
2001-10-03,11:50:48,2,6.49,14.00,0.00,0.93
2001-10-03,11:55:11,2,7.57,0.00,12.00,1.26
2001-10-03,12:05:44,444,4.86,0.00,13.00,0.75
2001-10-03,12:05:52,1,13.64,0.00,11.00,2.48
2001-10-03,12:06:29,2,7.21,0.00,17.00,0.85
2001-10-03,12:07:01,171,22.44,0.00,14.00,3.21
2001-10-03,12:11:16,1,13.06,0.00,12.00,2.18
2001-10-03,12:11:50,19,22.47,0.00,14.00,3.21
2001-10-03,12:13:18,444,8.89,0.00,10.00,1.78
2001-10-03,12:16:52,1,12.99,0.00,13.00,2.00
2001-10-03,12:19:13,9,18.52,0.00,12.00,3.09
2001-10-03,12:19:35,444,8.13,0.00,12.00,1.36
2001-10-03,12:19:42,19,21.00,0.00,13.00,3.23
2001-10-03,12:22:08,1,12.59,0.00,13.00,1.94
2001-10-03,12:23:54,2,5.25,0.00,13.00,0.81
2001-10-03,12:25:12,9,18.96,0.00,15.00,2.53
2001-10-03,12:26:27,17,18.98,0.00,11.00,3.45
2001-10-03,12:28:30,1,12.82,0.00,14.00,1.83
2001-10-03,12:28:57,9,19.69,0.00,13.00,3.03
2001-10-03,12:30:09,9,18.98,14.00,0.00,2.71
2001-10-03,12:30:36,1,11.30,17.00,0.00,1.33
2001-10-03,12:32:41,9,18.05,0.00,13.00,2.78
2001-10-03,12:34:03,1,13.30,0.00,14.00,1.90
2001-10-03,12:36:04,1,11.56,14.00,0.00,1.65
2001-10-03,12:39:08,1,13.08,0.00,14.00,1.87
2001-10-03,12:39:28,17,3.54,0.00,0.00,
2001-10-03,12:39:42,9,20.88,0.00,13.00,3.21
2001-10-03,12:41:14,171,21.20,0.00,13.00,3.26
2001-10-03,12:44:11,1,12.50,0.00,11.00,2.27
2001-10-03,12:45:05,9,20.65,0.00,0.00,
2001-10-03,12:49:22,1,13.07,0.00,16.00,1.63
2001-10-03,12:50:02,17,19.89,0.00,15.00,2.65
