Date,Time,Sail Number,Speed (kts),Start Wind Speed,Finish Wind Speed,Ratio
2001-10-01,11:51:10,386,30.64,0.00,0.00,
2001-10-01,11:51:28,124,29.49,0.00,0.00,
2001-10-01,11:52:59,386,5.41,74.00,0.00,0.15
2001-10-01,11:53:30,171,30.64,0.00,0.00,
2001-10-01,11:55:05,386,31.32,0.00,0.00,
2001-10-01,11:55:36,124,28.32,0.00,0.00,
2001-10-01,11:57:00,171,29.25,0.00,0.00,
2001-10-01,11:57:22,8,26.32,0.00,0.00,
2001-10-01,11:58:06,7,31.74,0.00,0.00,
2001-10-01,11:58:15,386,33.23,0.00,0.00,
2001-10-01,11:58:40,47,31.47,0.00,0.00,
2001-10-01,11:59:07,124,29.25,0.00,0.00,
2001-10-01,12:00:10,386,32.18,0.00,0.00,
2001-10-01,12:01:44,1,16.66,0.00,0.00,
2001-10-01,12:02:08,124,28.77,0.00,0.00,
2001-10-01,12:02:34,386,30.38,0.00,0.00,
2001-10-01,12:03:10,47,31.05,0.00,0.00,
2001-10-01,12:03:36,19,31.18,0.00,0.00,
2001-10-01,12:04:50,386,32.47,0.00,0.00,
2001-10-01,12:05:57,124,29.01,0.00,0.00,
2001-10-01,12:06:53,1,15.98,0.00,0.00,
2001-10-01,12:07:10,47,32.47,0.00,0.00,
2001-10-01,12:07:35,386,31.32,0.00,0.00,
2001-10-01,12:07:59,7,30.13,0.00,0.00,
2001-10-01,12:08:47,19,31.19,0.00,0.00,
2001-10-01,12:09:37,1,15.29,0.00,0.00,
2001-10-01,12:10:19,197,27.44,0.00,0.00,
2001-10-01,12:10:49,12,26.92,0.00,0.00,
2001-10-01,12:12:02,47,31.61,0.00,0.00,
2001-10-01,12:13:08,19,29.75,0.00,0.00,
2001-10-01,12:15:16,124,30.00,0.00,0.00,
2001-10-01,12:16:02,1,16.31,0.00,0.00,
2001-10-01,12:16:29,197,27.43,0.00,0.00,
2001-10-01,12:16:51,7,30.38,0.00,0.00,
2001-10-01,12:16:59,8,26.51,0.00,0.00,
2001-10-01,12:17:18,4,26.92,0.00,0.00,
2001-10-01,12:18:10,47,30.00,0.00,0.00,
2001-10-01,12:18:36,12,29.37,0.00,0.00,
2001-10-01,12:19:08,181,28.31,0.00,0.00,
2001-10-01,12:19:25,386,31.74,0.00,0.00,
2001-10-01,12:20:43,4,29.99,0.00,0.00,
2001-10-01,12:21:50,8,27.43,0.00,0.00,
2001-10-01,12:22:26,47,32.32,0.00,0.00,
2001-10-01,12:22:59,197,26.22,0.00,0.00,
2001-10-01,12:23:31,7,30.64,0.00,0.00,
2001-10-01,12:23:47,17,30.64,0.00,0.00,
2001-10-01,12:23:53,4,29.37,0.00,0.00,
2001-10-01,12:24:10,19,32.62,0.00,0.00,
2001-10-01,12:24:32,88,26.51,0.00,0.00,
2001-10-01,12:25:15,181,27.86,0.00,0.00,
2001-10-01,12:25:36,12,27.98,0.00,0.00,
2001-10-01,12:26:01,124,28.89,0.00,0.00,
2001-10-01,12:26:38,47,31.46,0.00,0.00,
2001-10-01,12:27:05,171,29.01,0.00,0.00,
2001-10-01,12:27:29,19,31.89,0.00,0.00,
2001-10-01,12:27:31,1,16.46,0.00,0.00,
2001-10-01,12:28:29,4,26.02,0.00,0.00,
2001-10-01,12:28:56,8,28.89,0.00,0.00,
2001-10-01,12:29:47,197,26.12,0.00,0.00,
2001-10-01,12:30:04,1,16.58,0.00,0.00,
2001-10-01,12:30:32,124,29.25,0.00,0.00,
2001-10-01,12:32:23,19,32.17,0.00,0.00,
2001-10-01,12:32:48,386,35.22,0.00,0.00,
2001-10-01,12:33:10,171,30.25,0.00,0.00,
2001-10-01,12:34:18,181,30.51,0.00,0.00,
2001-10-01,12:35:11,48,24.00,0.00,0.00,
2001-10-01,12:35:43,1,17.61,0.00,0.00,
2001-10-01,12:36:01,47,33.71,0.00,0.00,
2001-10-01,12:36:40,7,32.77,0.00,0.00,
2001-10-01,12:37:05,88,23.44,0.00,0.00,
2001-10-01,12:37:23,4,29.25,0.00,0.00,
2001-10-01,12:37:42,386,30.51,0.00,0.00,
2001-10-01,12:38:04,8,27.87,0.00,0.00,
2001-10-01,12:38:34,197,27.86,0.00,0.00,
2001-10-01,12:40:21,181,28.77,0.00,0.00,
2001-10-01,12:41:01,386,32.62,0.00,0.00,
2001-10-01,12:41:39,4,25.55,0.00,0.00,
2001-10-01,12:42:25,197,26.42,0.00,0.00,
2001-10-01,12:42:43,47,34.52,0.00,0.00,
2001-10-01,12:43:03,19,31.88,0.00,0.00,
2001-10-01,12:43:45,88,25.65,0.00,0.00,
2001-10-01,12:44:10,7,31.33,0.00,0.00,
2001-10-01,12:45:02,17,30.64,0.00,0.00,
2001-10-01,12:45:30,181,29.99,0.00,0.00,
2001-10-01,12:46:14,124,28.31,0.00,0.00,
2001-10-01,12:46:33,8,28.20,0.00,0.00,
2001-10-01,12:46:57,47,31.33,0.00,0.00,
2001-10-01,12:48:19,171,30.64,0.00,0.00,
2001-10-01,12:48:46,19,33.39,0.00,0.00,
2001-10-01,12:49:08,17,32.46,0.00,0.00,
2001-10-01,12:49:38,197,28.09,0.00,0.00,
2001-10-01,12:50:03,4,29.86,0.00,0.00,
2001-10-01,12:50:57,6,29.50,0.00,0.00,
2001-10-01,12:52:04,8,28.66,0.00,0.00,
2001-10-01,12:52:36,181,29.62,0.00,0.00,
2001-10-01,12:52:54,4,29.25,0.00,0.00,
2001-10-01,12:53:17,47,30.13,0.00,0.00,
2001-10-01,12:53:36,19,30.64,0.00,0.00,
2001-10-01,13:24:33,213,30.13,0.00,0.00,
2001-10-01,13:27:44,213,31.05,0.00,0.00,
2001-10-01,13:31:07,213,31.33,0.00,0.00,
2001-10-01,13:33:22,47,33.71,0.00,0.00,
2001-10-01,13:33:38,386,32.61,0.00,0.00,
2001-10-01,13:34:38,12,28.20,0.00,0.00,
2001-10-01,13:35:09,19,32.47,0.00,0.00,
2001-10-01,13:36:52,47,33.71,0.00,0.00,
2001-10-01,13:38:01,17,29.49,0.00,0.00,
2001-10-01,13:39:12,19,33.39,0.00,0.00,
2001-10-01,13:40:47,386,32.03,0.00,0.00,
2001-10-01,13:41:16,124,27.76,0.00,0.00,
2001-10-01,13:41:43,17,32.33,0.00,0.00,
2001-10-01,13:42:11,12,27.44,0.00,0.00,
2001-10-01,13:42:49,47,32.47,0.00,0.00,
2001-10-01,13:44:21,181,30.51,0.00,0.00,
2001-10-01,13:44:38,3,29.74,0.00,0.00,
2001-10-01,13:44:59,27,30.38,0.00,0.00,
2001-10-01,13:47:48,48,32.92,0.00,0.00,
2001-10-01,13:49:22,181,30.91,0.00,0.00,
2001-10-01,13:50:06,12,28.66,0.00,0.00,
