Place,HelmName,Fleet,Age,Tally
1,Rafferty Read,Male Wingfoil,Adult,95
2,Denis Gordo,Male Wingfoil,Adult,62
3,Rod Dickinson,Male Wingfoil,Adult,31
4,Jon Nichols,Male Wingfoil,Adult,44
5,Andrew Collenette,Male Wingfoil,Adult,55
6,Nick Barrett,Male Wingfoil,Adult,38
