Place,HelmName,Fleet,Status
1,Kevin Greenslade,Men's Sailboard,Pro Fleet
2,Simon Cofield,Men's Sailboard,Pro Fleet
3,Simon Pettifer,Men's Sailboard,Gold Fleet
4,Allan Cross,Men's Sailboard,Pro Fleet
5,Jim Crossley,Men's Sailboard,Gold Fleet
6,Nigel Spriggs,Men's Sailboard,Gold Fleet
7,Matthew York,Men's Sailboard,Gold Fleet
8,Jamie Walker,Men's Sailboard,Gold Fleet
9,Alan Russell,Men's Sailboard,Amateur
10,Gavin Furmenger,Men's Sailboard,Amateur
11,Adrian Wallis,Men's Sailboard,Gold Fleet
12,Dave Strudwick,Men's Sailboard,Gold Fleet
13,Garry Connell,Men's Sailboard,Amateur
14,Matthew Spooner,Men's Sailboard,Gold Fleet
15,Henry Bloodworth,Men's Sailboard,Youth Fleet
16,Stephen Sugden,Men's Sailboard,Gold Fleet
17,Mark Palmer,Men's Sailboard,Amateur
18,Trevor Whatford,Men's Sailboard,Amateur
19,Mark Salvage,Men's Sailboard,Amateur
