Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Kevin Greenslade,Men's Sailboard,Pro Fleet,32.42,32.27,32.34
2,Simon Cofield,Men's Sailboard,Pro Fleet,31.24,30.92,31.08
3,Jim Crossley,Men's Sailboard,Gold Fleet,30.03,29.99,30.01
4,Simon Pettifer,Men's Sailboard,Gold Fleet,29.31,29.31,29.31
5,Nigel Spriggs,Men's Sailboard,Gold Fleet,29.15,28.77,28.96
6,Matthew York,Men's Sailboard,Gold Fleet,28.64,28.57,28.60
7,Jamie Walker,Men's Sailboard,Gold Fleet,28.42,27.76,28.09
8,Allan Cross,Men's Sailboard,Pro Fleet,28.09,27.58,27.84
9,Adrian Wallis,Men's Sailboard,Gold Fleet,27.63,27.49,27.56
10,Gavin Furmenger,Men's Sailboard,Amateur,27.70,27.41,27.55
11,Dave Strudwick,Men's Sailboard,Gold Fleet,27.39,26.99,27.19
12,Garry Connell,Men's Sailboard,Amateur,26.87,25.87,26.37
13,Stephen Sugden,Men's Sailboard,Gold Fleet,26.46,26.01,26.24
14,Nic Dodd,Men's Sailboard,Gold Fleet,25.55,25.05,25.30
15,Mark Salvage,Men's Sailboard,Amateur,22.39,22.38,22.38
16,Mark Palmer,Men's Sailboard,Amateur,21.53,21.02,21.28
17,Alan Russell,Men's Sailboard,Amateur,24.27,,12.14
18,Trevor Whatford,Men's Sailboard,Amateur,21.28,,10.64
