Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Kevin Greenslade,Men's Sailboard,Pro Fleet,32.99,32.98,32.99
2,Simon Cofield,Men's Sailboard,Pro Fleet,32.83,32.43,32.63
3,Simon Pettifer,Men's Sailboard,Gold Fleet,31.42,31.32,31.37
4,Allan Cross,Men's Sailboard,Pro Fleet,31.17,30.78,30.98
5,Jim Crossley,Men's Sailboard,Gold Fleet,30.89,30.85,30.87
6,Nigel Spriggs,Men's Sailboard,Gold Fleet,30.33,30.00,30.16
7,Matthew York,Men's Sailboard,Gold Fleet,30.07,29.83,29.95
8,Jamie Walker,Men's Sailboard,Gold Fleet,29.08,28.35,28.72
9,Alan Russell,Men's Sailboard,Amateur,29.08,28.22,28.65
10,Gavin Furmenger,Men's Sailboard,Amateur,28.70,28.49,28.59
11,Adrian Wallis,Men's Sailboard,Gold Fleet,28.73,28.01,28.37
12,Dave Strudwick,Men's Sailboard,Gold Fleet,28.23,28.19,28.21
13,Garry Connell,Men's Sailboard,Amateur,28.17,27.20,27.69
14,Matthew Spooner,Men's Sailboard,Gold Fleet,27.73,27.63,27.68
15,Henry Bloodworth,Men's Sailboard,Youth Fleet,27.08,26.76,26.92
16,Stephen Sugden,Men's Sailboard,Gold Fleet,27.01,26.57,26.79
17,Mark Palmer,Men's Sailboard,Amateur,26.36,26.19,26.28
18,Trevor Whatford,Men's Sailboard,Amateur,25.68,25.51,25.60
19,Mark Salvage,Men's Sailboard,Amateur,24.50,24.07,24.29
