Course Length,Rank,Speed (kts),Craft Type,Name,Runs,Sail Number
200,1,35.22,Sailboard,Nick Beaney,33,386
200,2,34.52,Sailboard,Stacey Vass,30,47
200,3,33.54,Sailboard,James Paine,46,17
200,4,33.38,Sailboard,Richard Ashenden,30,19
200,5,33.38,Kite Board,Chris Calthrop,6,48
200,6,32.92,Sailboard,Rob Gough,10,6
200,7,32.77,Sailboard,Angus Hitchin,22,7
200,8,32.46,Sailboard,M Brown,20,3
200,9,32.02,Sailboard,Tony Morris,31,11
200,10,31.6,Sailboard,Pete Martin,45,181
200,11,31.45,Sailboard,Trevor Whatford,28,27
200,12,31.32,Sailboard,Richard Jones,13,213
200,13,30.64,Sailboard,Kim Newman,4,68
200,14,30.64,Sailboard,Sean Carroll,29,171
200,15,30.51,Sailboard,Robbie Brotherwood,24,4
200,16,29.99,Sailboard,Richard Trubger,36,124
200,17,29.36,Sailboard,Steve Summerfield,9,12
200,18,29.24,Sailboard,Mike Pearce,36,9
200,19,28.89,Sailboard,Les Paley,27,8
200,20,28.09,Sailboard,David Goodrich,22,197
200,21,26.51,Sailboard,Roger Crabb,18,88
200,22,26.02,Sailboard,Peter Watkinson,6,808
200,23,25.1,Sailboard,Jeremy Walwin,2,20
200,24,22.68,Sailboard,Dale Clarke,2,44
200,25,22.12,Sailboard,Nick Povey,12,111
200,26,21.19,Sailboard,Pierre Saville,8,38
200,27,18.24,Sailboard,Graham Holbert,6,5
200,28,17.61,Boat,Alex Montgomery,15,1
200,29,13.01,Boat,Andy,1,114
200,30,11.54,Boat,John Peperell,7,13
200,31,9.45,Boat,Fred Ball,4,10
200,32,9.07,Boat,Neils Haarbosch,3,444
200,33,6.68,Boat,John Perry,2,555
500,1,30.64,Sailboard,Nick Beaney,4,386
500,2,29.19,Sailboard,Richard Ashenden,33,19
500,3,28.91,Sailboard,James Paine,83,17
500,4,28.6,Sailboard,Pete Martin,73,181
500,5,28.47,Sailboard,Angus Hitchin,6,7
500,6,27.9,Sailboard,Tony Morris,47,11
500,7,27.65,Sailboard,Mike Pearce,86,9
500,8,27.24,Sailboard,Richard Jones,4,213
500,9,26.84,Sailboard,Paul Sleightholm,25,671
500,10,26.57,Sailboard,David Goodrich,37,197
500,11,26.41,Sailboard,Sean Carroll,28,171
500,12,26.33,Sailboard,M Brown,7,3
500,13,26.22,Sailboard,Rob Gough,7,6
500,14,25.8,Sailboard,Ed Gollop,4,41
500,15,25.71,Sailboard,Roger Crabb,31,88
500,16,25.17,Sailboard,Richard Trubger,22,124
500,17,24.84,Kite Board,Andrew Macdonald,14,39
500,18,24.84,Sailboard,Les Paley,45,8
500,19,24.54,Boat,Robin Ball,22,2
500,20,24.37,Sailboard,Trevor Whatford,18,27
500,21,24.36,Sailboard,Paul Sleightholm,10,14
500,22,22.69,Sailboard,Robbie Brotherwood,7,4
500,23,22.6,Sailboard,Peter Watkinson,5,808
500,24,22.44,Sailboard,John May,10,37
500,25,21.7,Sailboard,Graham Holbert,5,5
500,26,21.47,Sailboard,Vanessa Miles,7,22
500,27,20.25,Sailboard,Bob Spagnoletti,6,639
500,28,19.34,Boat,Alan Blundell,9,18
500,29,16.79,Boat,John Peperell,41,13
500,30,16.06,Boat,Alex Montgomery,42,1
500,31,15.56,Sailboard,Jeremy Walwin,4,20
500,32,15.34,Boat,Neils Haarbosch,12,576
500,33,14.95,Kite Board,Chris Calthrop,10,48
500,34,14.34,Boat,Torix Bennett,5,101
500,35,14.27,Boat,Chris Evans,2,33
500,36,13.93,Boat,Chris Evans,8,30
500,37,12.56,Boat,Fred Ball,13,10
500,38,12.22,Boat,Philip Middleton,21,99
500,39,11.86,Boat,Neils Haarbosch,6,444
500,40,11.48,Boat,Slade Penoyre,8,503
500,41,9.03,Boat,John Perry,7,555
