Rank,Speed (kts),Craft Type,Name,Runs,Sail Number
1,30.64,Sailboard,Nick Beaney,4,386
2,29.19,Sailboard,Richard Ashenden,33,19
3,28.91,Sailboard,James Paine,83,17
4,28.6,Sailboard,Pete Martin,73,181
5,28.47,Sailboard,Angus Hitchin,6,7
6,27.9,Sailboard,Tony Morris,47,11
7,27.65,Sailboard,Mike Pearce,86,9
8,27.24,Sailboard,Richard Jones,4,213
9,26.84,Sailboard,Paul Sleightholm,25,671
10,26.57,Sailboard,David Goodrich,37,197
11,26.41,Sailboard,Sean Carroll,28,171
12,26.33,Sailboard,M Brown,7,3
13,26.22,Sailboard,Rob Gough,7,6
14,25.8,Sailboard,Ed Gollop,4,41
15,25.71,Sailboard,Roger Crabb,31,88
16,25.17,Sailboard,Richard Trubger,22,124
17,24.84,Kite Board,Andrew Macdonald,14,39
18,24.84,Sailboard,Les Paley,45,8
19,24.54,Boat,Robin Ball,22,2
20,24.37,Sailboard,Trevor Whatford,18,27
21,24.36,Sailboard,Paul Sleightholm,10,14
22,22.69,Sailboard,Robbie Brotherwood,7,4
23,22.6,Sailboard,Peter Watkinson,5,808
24,22.44,Sailboard,John May,10,37
25,21.7,Sailboard,Graham Holbert,5,5
26,21.47,Sailboard,Vanessa Miles,7,22
27,20.25,Sailboard,Bob Spagnoletti,6,639
28,19.34,Boat,Alan Blundell,9,18
29,16.79,Boat,John Peperell,41,13
30,16.06,Boat,Alex Montgomery,42,1
31,15.56,Sailboard,Jeremy Walwin,4,20
32,15.34,Boat,Neils Haarbosch,12,576
33,14.95,Kite Board,Chris Calthrop,10,48
34,14.34,Boat,Torix Bennett,5,101
35,14.27,Boat,Chris Evans,2,33
36,13.93,Boat,Chris Evans,8,30
37,12.56,Boat,Fred Ball,13,10
38,12.22,Boat,Philip Middleton,21,99
39,11.86,Boat,Neils Haarbosch,6,444
40,11.48,Boat,Slade Penoyre,8,503
41,9.03,Boat,John Perry,7,555
