Rank,Speed (kts),Craft Type,Name,Runs,Sail Number
1,35.22,Sailboard,Nick Beaney,33,386
2,34.52,Sailboard,Stacey Vass,30,47
3,33.54,Sailboard,James Paine,46,17
4,33.38,Sailboard,Richard Ashenden,30,19
5,33.38,Kite Board,Chris Calthrop,6,48
6,32.92,Sailboard,Rob Gough,10,6
7,32.77,Sailboard,Angus Hitchin,22,7
8,32.46,Sailboard,M Brown,20,3
9,32.02,Sailboard,Tony Morris,31,11
10,31.6,Sailboard,Pete Martin,45,181
11,31.45,Sailboard,Trevor Whatford,28,27
12,31.32,Sailboard,Richard Jones,13,213
13,30.64,Sailboard,Kim Newman,4,68
14,30.64,Sailboard,Sean Carroll,29,171
15,30.51,Sailboard,Robbie Brotherwood,24,4
16,29.99,Sailboard,Richard Trubger,36,124
17,29.36,Sailboard,Steve Summerfield,9,12
18,29.24,Sailboard,Mike Pearce,36,9
19,28.89,Sailboard,Les Paley,27,8
20,28.09,Sailboard,David Goodrich,22,197
21,26.51,Sailboard,Roger Crabb,18,88
22,26.02,Sailboard,Peter Watkinson,6,808
23,25.1,Sailboard,Jeremy Walwin,2,20
24,22.68,Sailboard,Dale Clarke,2,44
25,22.12,Sailboard,Nick Povey,12,111
26,21.19,Sailboard,Pierre Saville,8,38
27,18.24,Sailboard,Graham Holbert,6,5
28,17.61,Boat,Alex Montgomery,15,1
29,13.01,Boat,Andy,1,114
30,11.54,Boat,John Peperell,7,13
31,9.45,Boat,Fred Ball,4,10
32,9.07,Boat,Neils Haarbosch,3,444
33,6.68,Boat,John Perry,2,555
