Rank,Speed (kts),Craft Type,Name,Runs,Sail Number
1,24.85,Sailboard,Pete Martin,13,181
2,23.49,Sailboard,Tony Morris,11,11
3,22.25,Sailboard,Mike Pearce,8,9
4,22.20,Sailboard,James Paine,9,17
5,21.44,Sailboard,Ian Hill,4,14
6,20.44,Sailboard,Sean Carroll,3,171
7,20.25,Sailboard,Bob Spagnoletti,6,639
8,18.31,Sailboard,Nick Povey,1,111
9,17.59,Sailboard,Roger Crabb,2,88
10,12.74,Boat,Neils Haarbosch,3,576
11,11.47,Boat,John Peperell,6,13
12,9.55,Boat,Fred Ball,6,10
13,9.03,Boat,John Perry,6,555
14,6.46,Boat,Neils Haarbosch,1,444
