Place,HelmName,Fleet,Status
1,Jim Crossley,Men's Sailboard,Gold Fleet
2,Simon Pettifer,Men's Sailboard,Gold Fleet
3,Mark Matthews,Men's Sailboard,Amateur
4,Kevin Greenslade,Men's Sailboard,Pro Fleet
5,Nick Beaney,Men's Sailboard,Pro Fleet
6,Garry Connell,Men's Sailboard,Amateur
7,Alan Russell,Men's Sailboard,Amateur
8,Matthew Spooner,Men's Sailboard,Gold Fleet
9,Mark Salvage,Men's Sailboard,Amateur
10,Nigel Spriggs,Men's Sailboard,Gold Fleet
11,Gavin Furmenger,Men's Sailboard,Amateur
12,Allan Cross,Men's Sailboard,Pro Fleet
13,Ginge Ashmore,Men's Sailboard,Amateur
14,Adrian Wallis,Men's Sailboard,Gold Fleet
