Date,Time,Sail Number,Speed (kts),Wind Speed,Seconds,Ratio
1999-10-03,11:52:21,2,20.524,17.00,48.12,1.207
1999-10-03,12:03:01,47,19.650,18.00,50.26,1.092
1999-10-03,12:06:44,47,28.860,14.00,34.22,2.061
1999-10-03,12:08:17,9,24.903,21.00,39.66,1.186
1999-10-03,12:08:55,46,23.141,16.00,42.68,1.446
1999-10-03,12:10:15,47,30.423,18.00,32.46,1.690
1999-10-03,12:13:17,171,25.251,15.00,39.11,1.683
1999-10-03,12:14:55,46,21.152,15.00,46.69,1.410
1999-10-03,12:15:13,9,24.764,18.00,39.88,1.376
1999-10-03,12:16:03,27,23.941,21.00,41.25,1.140
1999-10-03,12:16:06,47,29.234,14.00,33.78,2.088
1999-10-03,12:16:21,150,25.943,19.00,38.07,1.365
1999-10-03,12:17:45,46,21.327,14.00,46.30,1.523
1999-10-03,12:19:07,9,25.539,15.00,38.67,1.703
1999-10-03,12:19:57,150,26.133,16.00,37.79,1.633
1999-10-03,12:21:49,171,24.629,20.00,40.10,1.231
1999-10-03,12:22:03,47,6.285,15.00,157.14,0.419
1999-10-03,12:22:43,1,12.051,19.00,81.95,0.634
1999-10-03,12:22:47,46,20.572,18.00,48.00,1.143
1999-10-03,12:23:04,9,25.648,17.00,38.50,1.509
1999-10-03,12:23:57,150,24.297,18.00,40.64,1.350
1999-10-03,12:25:23,47,23.627,16.00,41.80,1.477
1999-10-03,12:26:53,46,18.328,13.00,53.88,1.410
1999-10-03,12:27:40,27,26.798,15.00,36.85,1.787
1999-10-03,12:29:22,101,16.995,17.00,58.11,1.000
1999-10-03,12:31:08,9,22.062,15.00,44.76,1.471
1999-10-03,12:31:37,79,9.656,15.00,102.27,0.644
1999-10-03,12:32:02,150,22.308,18.00,44.27,1.239
1999-10-03,12:33:32,15,17.524,20.00,56.36,0.876
1999-10-03,12:33:41,47,28.906,13.00,34.16,2.224
1999-10-03,12:34:10,181,28.814,12.00,34.27,2.401
1999-10-03,12:35:00,1,2.335,18.00,422.93,0.130
1999-10-03,12:37:02,101,23.228,14.00,42.52,1.659
1999-10-03,12:39:22,171,24.595,20.00,40.15,1.230
1999-10-03,12:39:52,15,17.011,14.00,58.05,1.215
1999-10-03,12:40:13,47,29.234,17.00,33.78,1.720
1999-10-03,12:40:41,9,25.286,16.00,39.05,1.580
1999-10-03,12:41:38,46,19.714,13.00,50.09,1.516
1999-10-03,12:44:58,101,16.804,14.00,58.77,1.200
1999-10-03,12:46:54,150,24.528,19.00,40.26,1.291
1999-10-03,12:48:20,9,26.288,18.00,37.57,1.460
1999-10-03,12:48:40,46,22.935,18.00,43.06,1.274
1999-10-03,12:49:09,171,25.503,13.00,38.72,1.962
1999-10-03,12:49:42,181,26.915,15.00,36.69,1.794
1999-10-03,12:50:39,150,24.262,16.00,40.70,1.516
1999-10-03,12:50:47,15,17.189,20.00,57.45,0.859
1999-10-03,12:52:01,101,19.824,17.00,49.82,1.166
1999-10-03,12:53:42,9,24.562,16.00,40.21,1.535
1999-10-03,12:54:51,15,19.334,18.00,51.08,1.074
1999-10-03,12:55:34,27,25.503,16.00,38.72,1.594
1999-10-03,12:55:44,150,25.251,15.00,39.11,1.683
1999-10-03,12:57:04,79,10.423,17.00,94.75,0.613
1999-10-03,12:57:20,13,11.017,17.00,89.64,0.648
1999-10-03,13:00:05,15,19.694,20.00,50.14,0.985
1999-10-03,13:01:19,101,18.886,15.00,52.29,1.259
1999-10-03,13:02:35,46,20.248,14.00,48.77,1.446
1999-10-03,13:04:30,27,24.598,18.00,40.15,1.367
1999-10-03,13:04:40,1,10.792,19.00,91.50,0.568
1999-10-03,13:04:55,9,22.817,16.00,43.28,1.426
1999-10-03,13:07:44,13,10.005,15.00,98.70,0.667
1999-10-03,13:08:20,124,22.061,21.00,44.77,1.051
1999-10-03,13:09:19,46,21.610,17.00,45.70,1.271
1999-10-03,13:11:42,47,26.556,17.00,37.19,1.562
1999-10-03,13:14:17,46,23.230,16.00,42.51,1.452
1999-10-03,13:15:01,79,11.852,13.00,83.32,0.912
1999-10-03,13:19:39,46,20.477,12.00,48.23,1.706
1999-10-03,13:19:51,15,18.346,14.00,53.83,1.310
1999-10-03,13:20:12,101,18.328,14.00,53.88,1.309
1999-10-03,13:20:59,181,26.096,16.00,37.84,1.631
1999-10-03,13:22:10,1,11.196,11.00,88.21,1.018
1999-10-03,13:24:11,124,22.962,14.00,43.01,1.640
1999-10-03,13:24:25,79,12.991,14.00,76.02,0.928
1999-10-03,13:24:29,27,23.911,18.00,41.30,1.328
1999-10-03,13:24:34,46,24.429,17.00,40.43,1.437
1999-10-03,13:26:16,47,26.996,16.00,36.58,1.687
1999-10-03,13:29:15,46,22.007,17.00,44.88,1.295
1999-10-03,13:29:19,13,9.350,12.00,105.63,0.779
1999-10-03,13:31:15,124,23.443,13.00,42.13,1.803
1999-10-03,13:32:08,47,24.698,15.00,39.98,1.647
1999-10-03,13:33:30,46,22.617,12.00,43.66,1.885
1999-10-03,13:35:27,15,19.737,14.00,50.04,1.410
1999-10-03,13:37:24,79,11.003,16.00,89.75,0.688
1999-10-03,13:37:47,124,23.941,18.00,41.25,1.330
1999-10-03,13:41:23,46,20.339,19.00,48.55,1.070
1999-10-03,13:45:26,47,29.049,18.00,34.00,1.614
1999-10-03,13:46:39,124,25.467,14.00,38.78,1.819
1999-10-03,13:46:50,15,2.148,21.00,459.84,0.102
1999-10-03,13:50:19,47,27.920,20.00,35.37,1.396
1999-10-03,13:51:16,15,18.827,17.00,52.45,1.107
1999-10-03,13:54:05,124,22.363,13.00,44.16,1.720
1999-10-03,13:56:00,47,29.428,16.00,33.56,1.839
1999-10-03,13:59:53,124,24.869,13.00,39.71,1.913
1999-10-03,14:01:12,55,11.577,17.00,85.30,0.681
1999-10-03,14:01:25,47,29.428,19.00,33.56,1.549
1999-10-03,14:05:54,124,25.503,17.00,38.72,1.500
1999-10-03,14:07:15,55,20.433,15.00,48.33,1.362
1999-10-03,14:09:48,47,30.219,19.00,32.68,1.590
1999-10-03,14:10:34,124,24.531,20.00,40.26,1.227
1999-10-03,14:11:35,18,18.847,16.00,52.40,1.178
1999-10-03,14:15:39,47,29.332,22.00,33.67,1.333
1999-10-03,14:17:30,150,27.120,17.00,36.41,1.595
1999-10-03,14:19:20,18,12.173,16.00,81.13,0.761
1999-10-03,14:21:29,150,24.462,16.00,40.37,1.529
1999-10-03,14:22:40,47,29.046,16.00,34.00,1.815
1999-10-03,14:24:06,9,27.202,20.00,36.30,1.360
1999-10-03,14:25:21,18,19.522,17.00,50.59,1.148
1999-10-03,14:26:24,150,28.677,17.00,34.44,1.687
1999-10-03,14:27:19,47,29.234,19.00,33.78,1.539
1999-10-03,14:27:47,124,25.871,14.00,38.17,1.848
1999-10-03,14:30:17,9,26.365,19.00,37.46,1.388
1999-10-03,14:32:42,150,25.575,17.00,38.61,1.504
1999-10-03,14:34:34,18,9.136,15.00,108.09,0.609
1999-10-03,14:35:44,171,24.165,21.00,40.87,1.151
1999-10-03,14:37:21,46,18.846,14.00,52.40,1.346
1999-10-03,14:37:49,9,25.148,16.00,39.27,1.572
1999-10-03,14:38:19,124,24.495,23.00,40.32,1.065
1999-10-03,14:42:38,46,18.273,17.00,54.04,1.075
1999-10-03,14:43:06,124,26.058,20.00,37.90,1.303
1999-10-03,14:43:34,9,24.068,22.00,41.03,1.094
1999-10-03,14:43:54,18,4.352,23.00,226.90,0.189
1999-10-03,14:45:08,46,18.328,20.00,53.88,0.916
1999-10-03,14:45:17,47,25.076,19.00,39.38,1.320
1999-10-03,14:49:12,18,19.313,19.00,51.13,1.016
1999-10-03,14:52:31,171,22.731,20.00,43.45,1.137
1999-10-03,14:56:47,47,30.270,16.00,32.63,1.892
1999-10-03,15:02:05,47,26.442,17.00,37.35,1.555
1999-10-03,15:08:43,27,21.716,19.00,45.48,1.143
1999-10-03,15:10:40,47,23.941,15.00,41.25,1.596
1999-10-03,15:12:59,111,22.846,15.00,43.23,1.523
1999-10-03,15:14:45,181,27.492,13.00,35.92,2.115
1999-10-03,15:16:10,150,26.958,21.00,36.63,1.284
1999-10-03,15:16:48,47,30.270,13.00,32.63,2.328
1999-10-03,15:18:23,55,20.501,13.00,48.17,1.577
1999-10-03,15:19:38,27,20.596,16.00,47.95,1.287
1999-10-03,15:20:48,181,28.361,19.00,34.82,1.493
1999-10-03,15:22:34,111,23.504,21.00,42.02,1.119
1999-10-03,15:22:50,150,26.324,14.00,37.52,1.880
1999-10-03,15:25:03,55,18.593,14.00,53.11,1.328
1999-10-03,15:26:35,27,22.363,20.00,44.16,1.118
1999-10-03,15:27:40,444,7.852,20.00,125.78,0.393
1999-10-03,15:27:50,181,24.698,27.00,39.98,0.915
1999-10-03,15:29:24,150,28.137,16.00,35.10,1.759
1999-10-03,15:30:08,47,30.997,14.00,31.86,2.214
1999-10-03,15:34:12,150,27.453,16.00,35.97,1.716
1999-10-03,15:35:55,9,27.120,24.00,36.41,1.130
1999-10-03,15:37:14,47,31.001,20.00,31.86,1.550
1999-10-03,15:37:58,27,25.721,16.00,38.39,1.608
1999-10-03,15:39:19,150,26.327,16.00,37.51,1.645
1999-10-03,15:39:59,444,6.581,15.00,150.06,0.439
1999-10-03,15:45:26,444,5.913,23.00,167.03,0.257
1999-10-03,15:46:49,150,25.324,14.00,39.00,1.809
1999-10-03,15:51:32,444,3.680,16.00,268.36,0.230
1999-10-03,15:51:49,1,15.186,10.00,65.03,1.519
1999-10-03,15:57:35,1,14.407,17.00,68.55,0.847
1999-10-03,15:58:54,444,2.511,18.00,393.32,0.139
1999-10-03,16:04:50,1,8.914,8.00,110.79,1.114
1999-10-03,16:06:36,10,2.775,12.00,355.86,0.231
1999-10-03,16:10:50,1,7.612,10.00,129.73,0.761
1999-10-03,16:17:09,1,8.538,6.00,115.67,1.423
1999-10-03,16:20:37,13,4.212,5.00,234.48,0.842
