Rank,Speed (kts),Craft Type,Name,Runs,Sail Number
1,35.01,Sailboard,Bjorn Dunkerbeck,18,114
2,31.18,Sailboard,David Garrel,14,22
3,28.34,Sailboard,Nick Beaney,24,386
4,27.33,Sailboard,Tony Morris,6,11
5,27.18,Sailboard,Richard Jones,2,213
6,25.77,Sailboard,G Ratten,3,78
7,25.61,Sailboard,Alex Montgomery,6,1
8,25.19,Sailboard,Ian Hill,14,14
9,24.97,Kite Board,Cyril Pimont,6,2
10,24.39,Kite Board,Cory Roeseler,8,24
11,24.36,Sailboard,Roger Crabb,6,88
12,24.30,Sailboard,Trevor Whatford,16,27
13,23.58,Sailboard,Pierre Saville,6,38
14,21.99,Boat,Joddy Chapman,8,141
15,18.65,Boat,Torix Bennett,18,121
16,16.98,Boat,Alan Blundell,6,18
17,16.45,Boat,Raphael Dinelli,14,277
18,12.80,Boat,Arthur Lister,2,325
19,11.51,Boat,John Peperell,16,510
20,4.70,Kite Board,Emmanuel Taub,1,26
1,33.27,Kite Board,Cyril Pimont,15,2
2,32.35,Kite Board,Cory Roeseler,12,24
3,32.01,Sailboard,Bjorn Dunkerbeck,4,114
4,30.52,Sailboard,Nick Beaney,6,386
5,29.26,Sailboard,Tony Morris,2,11
6,27.92,Sailboard,Richard Jones,1,213
7,27.70,Sailboard,Ian Hill,5,14
8,26.74,Kite Board,Emmanuel Taub,2,26
9,26.34,Sailboard,Alex Montgomery,5,1
10,2.60,Sailboard,Pierre Saville,1,38
