Place,Helmname,Fleet
1,Richard Hobson,Men's Wingboard
2,Michael George,Men's Wingboard
3,Finlay Chandler,Men's Wingboard
4,Stacey Vass,Men's Wingboard
5,Simon Chippington,Men's Wingboard
6,Ian Kraft,Men's Wingboard
