Place,Helmname,Fleet
1,Scotty Stallman,Men's Sailboard
2,Simon Pettifer,Men's Sailboard
3,Kev Greenslade,Men's Sailboard
4,Jim Crossley,Men's Sailboard
5,Nigel Spriggs,Men's Sailboard
6,Garry Connell,Men's Sailboard
7,Will Trossell,Men's Sailboard
8,Michael George,Men's Sailboard
9,John Oliver,Men's Sailboard
10,Chris Bates,Men's Sailboard
11,George Fulton,Men's Sailboard
12,Maciej Bukolt,Men's Sailboard
13,Richard Crosby,Men's Sailboard
14,Eddie Marsh,Men's Sailboard
15,Andrew Twinn,Men's Sailboard
16,Iain Neary,Men's Sailboard
17,Thomas Harrison,Men's Sailboard
18,Neven Juretic,Men's Sailboard
19,Scott Norman,Men's Sailboard
20,Paul Arnold,Men's Sailboard
21,Trevor Funnell,Men's Sailboard
22,Garry Goodwin,Men's Sailboard
23,Andy Stuart-William,Men's Sailboard
24,Trevor Whatford,Men's Sailboard
25,Sullie Yelland,Men's Sailboard
26,Joe Trunkfield,Men's Sailboard
27,Bob Cunningham,Men's Sailboard
28,Dave Strudwick,Men's Sailboard
29,Stuart Trunkfield,Men's Sailboard
30,Stewart Veitch,Men's Sailboard
31,Tim Laine,Men's Sailboard
